Country or Area,Item,Year,Value
South Africa,"Population ages 0-14, female",1985,6391909.0
South Africa,"Population ages 0-14, female",1986,6556252.0
South Africa,"Population ages 0-14, female",1987,6767655.0
South Africa,"Population ages 0-14, female",1988,7015278.0
South Africa,"Population ages 0-14, female",1989,7283628.0
South Africa,"Population ages 0-14, female",1990,7552164.0
South Africa,"Population ages 0-14, female",1991,7807868.0
South Africa,"Population ages 0-14, female",1992,8040330.0
South Africa,"Population ages 0-14, female",1993,8231774.0
South Africa,"Population ages 0-14, female",1994,8371872.0
South Africa,"Population ages 0-14, female",1995,8462638.0
South Africa,"Population ages 0-14, female",1996,8509201.0
South Africa,"Population ages 0-14, female",1997,8488862.0
South Africa,"Population ages 0-14, female",1998,8411430.0
South Africa,"Population ages 0-14, female",1999,8305073.0
South Africa,"Population ages 0-14, female",2000,8163121.0
South Africa,"Population ages 0-14, female",2001,7998557.0
South Africa,"Population ages 0-14, female",2002,7830775.0
South Africa,"Population ages 0-14, female",2003,7671343.0
South Africa,"Population ages 0-14, female",2004,7535051.0
South Africa,"Population ages 0-14, female",2005,7431321.0
South Africa,"Population ages 0-14, female",2006,7356873.0
South Africa,"Population ages 0-14, female",2007,7307474.0
South Africa,"Population ages 0-14, female",2008,7298190.0
South Africa,"Population ages 0-14, female",2009,7309550.0
South Africa,"Population ages 0-14, female",2010,7320244.0
South Africa,"Population ages 0-14, female",2011,7352490.0
South Africa,"Population ages 0-14, female",2012,7422040.0
South Africa,"Population ages 0-14, female",2013,7519444.0
South Africa,"Population ages 0-14, female",2014,7629783.0
South Africa,"Population ages 0-14, female",2015,7757093.0
South Africa,"Population ages 0-14, female",2016,7859410.0
South Africa,"Population ages 0-14, female",2017,7952389.0
South Africa,"Population ages 0-14, female",2018,8077191.0
South Africa,"Population ages 0-14, female",2019,8200552.0
South Africa,"Population ages 0-14, female",2020,8299706.0
South Africa,"Population ages 0-14, female",2021,8363479.0
South Africa,"Population ages 0-14, female",2022,8398560.0
