Country or Area,Item,Year,Value
South Africa,Population ages 0-14 (% of total population),1985,38.4949881734831
South Africa,Population ages 0-14 (% of total population),1986,38.2323331522298
South Africa,Population ages 0-14 (% of total population),1987,38.1271824703961
South Africa,Population ages 0-14 (% of total population),1988,38.1732326433438
South Africa,Population ages 0-14 (% of total population),1989,38.311148628694
South Africa,Population ages 0-14 (% of total population),1990,38.4964392263621
South Africa,Population ages 0-14 (% of total population),1991,38.7678071634523
South Africa,Population ages 0-14 (% of total population),1992,39.0626558356045
South Africa,Population ages 0-14 (% of total population),1993,39.2122252090487
South Africa,Population ages 0-14 (% of total population),1994,39.1476778273098
South Africa,Population ages 0-14 (% of total population),1995,38.8888062870066
South Africa,Population ages 0-14 (% of total population),1996,38.4861013778872
South Africa,Population ages 0-14 (% of total population),1997,37.8622902435447
South Africa,Population ages 0-14 (% of total population),1998,37.0609936173899
South Africa,Population ages 0-14 (% of total population),1999,36.1941912617258
South Africa,Population ages 0-14 (% of total population),2000,35.2406061055493
South Africa,Population ages 0-14 (% of total population),2001,34.2356953506007
South Africa,Population ages 0-14 (% of total population),2002,33.2318300544142
South Africa,Population ages 0-14 (% of total population),2003,32.2791043252836
South Africa,Population ages 0-14 (% of total population),2004,31.4321024862164
South Africa,Population ages 0-14 (% of total population),2005,30.727000178866
South Africa,Population ages 0-14 (% of total population),2006,30.1437091866371
South Africa,Population ages 0-14 (% of total population),2007,29.6558154157421
South Africa,Population ages 0-14 (% of total population),2008,29.302695663228
South Africa,Population ages 0-14 (% of total population),2009,29.0189318790711
South Africa,Population ages 0-14 (% of total population),2010,28.7358473643723
South Africa,Population ages 0-14 (% of total population),2011,28.5212185867199
South Africa,Population ages 0-14 (% of total population),2012,28.4282531163354
South Africa,Population ages 0-14 (% of total population),2013,28.4237501340174
South Africa,Population ages 0-14 (% of total population),2014,28.3948885310607
South Africa,Population ages 0-14 (% of total population),2015,28.2753516576484
South Africa,Population ages 0-14 (% of total population),2016,28.365853602124
South Africa,Population ages 0-14 (% of total population),2017,28.5860959589855
South Africa,Population ages 0-14 (% of total population),2018,28.68152980046
South Africa,Population ages 0-14 (% of total population),2019,28.7452694924885
South Africa,Population ages 0-14 (% of total population),2020,28.7396723302935
South Africa,Population ages 0-14 (% of total population),2021,28.6729624931736
South Africa,Population ages 0-14 (% of total population),2022,28.5507958905087
