Country or Area,Item,Year,Value
South Africa,"Population ages 0-14, total",1985,12993200.0
South Africa,"Population ages 0-14, total",1986,13334610.0
South Africa,"Population ages 0-14, total",1987,13771284.0
South Africa,"Population ages 0-14, total",1988,14274442.0
South Africa,"Population ages 0-14, total",1989,14814417.0
South Africa,"Population ages 0-14, total",1990,15351445.0
South Africa,"Population ages 0-14, total",1991,15860282.0
South Africa,"Population ages 0-14, total",1992,16312860.0
South Africa,"Population ages 0-14, total",1993,16675171.0
South Africa,"Population ages 0-14, total",1994,16938410.0
South Africa,"Population ages 0-14, total",1995,17105663.0
South Africa,"Population ages 0-14, total",1996,17188510.0
South Africa,"Population ages 0-14, total",1997,17145956.0
South Africa,"Population ages 0-14, total",1998,16993268.0
South Africa,"Population ages 0-14, total",1999,16781321.0
South Africa,"Population ages 0-14, total",2000,16497279.0
South Africa,"Population ages 0-14, total",2001,16169421.0
South Africa,"Population ages 0-14, total",2002,15838793.0
South Africa,"Population ages 0-14, total",2003,15527556.0
South Africa,"Population ages 0-14, total",2004,15262194.0
South Africa,"Population ages 0-14, total",2005,15061499.0
South Africa,"Population ages 0-14, total",2006,14918651.0
South Africa,"Population ages 0-14, total",2007,14826749.0
South Africa,"Population ages 0-14, total",2008,14817146.0
South Africa,"Population ages 0-14, total",2009,14849214.0
South Africa,"Population ages 0-14, total",2010,14880836.0
South Africa,"Population ages 0-14, total",2011,14957475.0
South Africa,"Population ages 0-14, total",2012,15108204.0
South Africa,"Population ages 0-14, total",2013,15312902.0
South Africa,"Population ages 0-14, total",2014,15540395.0
South Africa,"Population ages 0-14, total",2015,15799278.0
South Africa,"Population ages 0-14, total",2016,16004660.0
South Africa,"Population ages 0-14, total",2017,16191510.0
South Africa,"Population ages 0-14, total",2018,16445884.0
South Africa,"Population ages 0-14, total",2019,16697281.0
South Africa,"Population ages 0-14, total",2020,16899481.0
South Africa,"Population ages 0-14, total",2021,17029519.0
South Africa,"Population ages 0-14, total",2022,17100181.0
