Country or Area,Item,Year,Value
South Africa,"Population ages 00-04, female (% of female population)",1985,15.2089887497095
South Africa,"Population ages 00-04, female (% of female population)",1986,15.226802053613
South Africa,"Population ages 00-04, female (% of female population)",1987,15.2615161622176
South Africa,"Population ages 00-04, female (% of female population)",1988,15.249259626609
South Africa,"Population ages 00-04, female (% of female population)",1989,15.1454009990107
South Africa,"Population ages 00-04, female (% of female population)",1990,14.88768603466
South Africa,"Population ages 00-04, female (% of female population)",1991,14.4570252627843
South Africa,"Population ages 00-04, female (% of female population)",1992,13.8999939409348
South Africa,"Population ages 00-04, female (% of female population)",1993,13.3114563361095
South Africa,"Population ages 00-04, female (% of female population)",1994,12.7633001862491
South Africa,"Population ages 00-04, female (% of female population)",1995,12.2974364168241
South Africa,"Population ages 00-04, female (% of female population)",1996,11.8658995625005
South Africa,"Population ages 00-04, female (% of female population)",1997,11.3805453832895
South Africa,"Population ages 00-04, female (% of female population)",1998,10.8718502912882
South Africa,"Population ages 00-04, female (% of female population)",1999,10.3915862670344
South Africa,"Population ages 00-04, female (% of female population)",2000,9.91891696320923
South Africa,"Population ages 00-04, female (% of female population)",2001,9.48857346836599
South Africa,"Population ages 00-04, female (% of female population)",2002,9.18358658262734
South Africa,"Population ages 00-04, female (% of female population)",2003,9.00319756819519
South Africa,"Population ages 00-04, female (% of female population)",2004,8.92650557306335
South Africa,"Population ages 00-04, female (% of female population)",2005,8.96909433582602
South Africa,"Population ages 00-04, female (% of female population)",2006,9.11855378865249
South Africa,"Population ages 00-04, female (% of female population)",2007,9.33263415786367
South Africa,"Population ages 00-04, female (% of female population)",2008,9.61457903316392
South Africa,"Population ages 00-04, female (% of female population)",2009,9.85249445210007
South Africa,"Population ages 00-04, female (% of female population)",2010,9.96413858080047
South Africa,"Population ages 00-04, female (% of female population)",2011,10.0185840539375
South Africa,"Population ages 00-04, female (% of female population)",2012,10.04929012046
South Africa,"Population ages 00-04, female (% of female population)",2013,9.99663403621626
South Africa,"Population ages 00-04, female (% of female population)",2014,9.90682214983099
South Africa,"Population ages 00-04, female (% of female population)",2015,9.83379389505697
South Africa,"Population ages 00-04, female (% of female population)",2016,9.73486049398829
South Africa,"Population ages 00-04, female (% of female population)",2017,9.61650250171888
South Africa,"Population ages 00-04, female (% of female population)",2018,9.51760420118564
South Africa,"Population ages 00-04, female (% of female population)",2019,9.45554379278376
South Africa,"Population ages 00-04, female (% of female population)",2020,9.39865691709042
South Africa,"Population ages 00-04, female (% of female population)",2021,9.36037638182999
South Africa,"Population ages 00-04, female (% of female population)",2022,9.30188507704067
