Country or Area,Item,Year,Value
South Africa,"Population ages 05-09, male (% of male population)",1985,12.8783431659271
South Africa,"Population ages 05-09, male (% of male population)",1986,13.1799558116431
South Africa,"Population ages 05-09, male (% of male population)",1987,13.5858067691268
South Africa,"Population ages 05-09, male (% of male population)",1988,13.8542611636349
South Africa,"Population ages 05-09, male (% of male population)",1989,13.9723699521069
South Africa,"Population ages 05-09, male (% of male population)",1990,14.0235621764869
South Africa,"Population ages 05-09, male (% of male population)",1991,14.1837594157822
South Africa,"Population ages 05-09, male (% of male population)",1992,14.4567942819278
South Africa,"Population ages 05-09, male (% of male population)",1993,14.6995716024176
South Africa,"Population ages 05-09, male (% of male population)",1994,14.8369481960779
South Africa,"Population ages 05-09, male (% of male population)",1995,14.8141202257453
South Africa,"Population ages 05-09, male (% of male population)",1996,14.6292439991144
South Africa,"Population ages 05-09, male (% of male population)",1997,14.2510499766558
South Africa,"Population ages 05-09, male (% of male population)",1998,13.7406135466263
South Africa,"Population ages 05-09, male (% of male population)",1999,13.2095292136514
South Africa,"Population ages 05-09, male (% of male population)",2000,12.7166286769717
South Africa,"Population ages 05-09, male (% of male population)",2001,12.2644410713359
South Africa,"Population ages 05-09, male (% of male population)",2002,11.8040975663264
South Africa,"Population ages 05-09, male (% of male population)",2003,11.3425346045473
South Africa,"Population ages 05-09, male (% of male population)",2004,10.8999635925608
South Africa,"Population ages 05-09, male (% of male population)",2005,10.4553463643512
South Africa,"Population ages 05-09, male (% of male population)",2006,10.0345052552735
South Africa,"Population ages 05-09, male (% of male population)",2007,9.70988262087511
South Africa,"Population ages 05-09, male (% of male population)",2008,9.48558016595047
South Africa,"Population ages 05-09, male (% of male population)",2009,9.36749413026403
South Africa,"Population ages 05-09, male (% of male population)",2010,9.38227998491787
South Africa,"Population ages 05-09, male (% of male population)",2011,9.50646285828486
South Africa,"Population ages 05-09, male (% of male population)",2012,9.694925103375
South Africa,"Population ages 05-09, male (% of male population)",2013,9.96640398160694
South Africa,"Population ages 05-09, male (% of male population)",2014,10.1672539753736
South Africa,"Population ages 05-09, male (% of male population)",2015,10.1690520900489
South Africa,"Population ages 05-09, male (% of male population)",2016,10.2448942152037
South Africa,"Population ages 05-09, male (% of male population)",2017,10.3662827703183
South Africa,"Population ages 05-09, male (% of male population)",2018,10.3020616681586
South Africa,"Population ages 05-09, male (% of male population)",2019,10.2075165090435
South Africa,"Population ages 05-09, male (% of male population)",2020,10.153433859617
South Africa,"Population ages 05-09, male (% of male population)",2021,10.0521226996379
South Africa,"Population ages 05-09, male (% of male population)",2022,9.92728813892866
