Country or Area,Item,Year,Value
South Africa,"Population ages 15-64, total",1985,19428801.0
South Africa,"Population ages 15-64, total",1986,20167718.0
South Africa,"Population ages 15-64, total",1987,20932853.0
South Africa,"Population ages 15-64, total",1988,21663380.0
South Africa,"Population ages 15-64, total",1989,22356476.0
South Africa,"Population ages 15-64, total",1990,22986083.0
South Africa,"Population ages 15-64, total",1991,23467984.0
South Africa,"Population ages 15-64, total",1992,23818107.0
South Africa,"Population ages 15-64, total",1993,24169268.0
South Africa,"Population ages 15-64, total",1994,24599019.0
South Africa,"Population ages 15-64, total",1995,25102745.0
South Africa,"Population ages 15-64, total",1996,25648188.0
South Africa,"Population ages 15-64, total",1997,26274353.0
South Africa,"Population ages 15-64, total",1998,26965319.0
South Africa,"Population ages 15-64, total",1999,27664706.0
South Africa,"Population ages 15-64, total",2000,28369978.0
South Africa,"Population ages 15-64, total",2001,29081144.0
South Africa,"Population ages 15-64, total",2002,29803907.0
South Africa,"Population ages 15-64, total",2003,30511731.0
South Africa,"Population ages 15-64, total",2004,31175478.0
South Africa,"Population ages 15-64, total",2005,31776293.0
South Africa,"Population ages 15-64, total",2006,32331020.0
South Africa,"Population ages 15-64, total",2007,32862272.0
South Africa,"Population ages 15-64, total",2008,33370739.0
South Africa,"Population ages 15-64, total",2009,33868111.0
South Africa,"Population ages 15-64, total",2010,34370007.0
South Africa,"Population ages 15-64, total",2011,34866342.0
South Africa,"Population ages 15-64, total",2012,35323461.0
South Africa,"Population ages 15-64, total",2013,35741766.0
South Africa,"Population ages 15-64, total",2014,36262376.0
South Africa,"Population ages 15-64, total",2015,37041896.0
South Africa,"Population ages 15-64, total",2016,37274755.0
South Africa,"Population ages 15-64, total",2017,37200003.0
South Africa,"Population ages 15-64, total",2018,37537017.0
South Africa,"Population ages 15-64, total",2019,37933572.0
South Africa,"Population ages 15-64, total",2020,38374016.0
South Africa,"Population ages 15-64, total",2021,38815753.0
South Africa,"Population ages 15-64, total",2022,39264163.0
