Country or Area,Item,Year,Value
South Africa,"Population ages 15-64, male",1985,9325658.0
South Africa,"Population ages 15-64, male",1986,9509262.0
South Africa,"Population ages 15-64, male",1987,9899610.0
South Africa,"Population ages 15-64, male",1988,10277545.0
South Africa,"Population ages 15-64, male",1989,10641017.0
South Africa,"Population ages 15-64, male",1990,10974262.0
South Africa,"Population ages 15-64, male",1991,11228974.0
South Africa,"Population ages 15-64, male",1992,11352205.0
South Africa,"Population ages 15-64, male",1993,11406498.0
South Africa,"Population ages 15-64, male",1994,11505370.0
South Africa,"Population ages 15-64, male",1995,11642412.0
South Africa,"Population ages 15-64, male",1996,11797173.0
South Africa,"Population ages 15-64, male",1997,12069893.0
South Africa,"Population ages 15-64, male",1998,12443664.0
South Africa,"Population ages 15-64, male",1999,12823428.0
South Africa,"Population ages 15-64, male",2000,13207335.0
South Africa,"Population ages 15-64, male",2001,13589649.0
South Africa,"Population ages 15-64, male",2002,13974572.0
South Africa,"Population ages 15-64, male",2003,14354483.0
South Africa,"Population ages 15-64, male",2004,14716058.0
South Africa,"Population ages 15-64, male",2005,15047579.0
South Africa,"Population ages 15-64, male",2006,15355755.0
South Africa,"Population ages 15-64, male",2007,15650693.0
South Africa,"Population ages 15-64, male",2008,15932292.0
South Africa,"Population ages 15-64, male",2009,16208103.0
South Africa,"Population ages 15-64, male",2010,16488263.0
South Africa,"Population ages 15-64, male",2011,16767529.0
South Africa,"Population ages 15-64, male",2012,17028075.0
South Africa,"Population ages 15-64, male",2013,17269738.0
South Africa,"Population ages 15-64, male",2014,17580172.0
South Africa,"Population ages 15-64, male",2015,18064982.0
South Africa,"Population ages 15-64, male",2016,18188852.0
South Africa,"Population ages 15-64, male",2017,18108848.0
South Africa,"Population ages 15-64, male",2018,18301741.0
South Africa,"Population ages 15-64, male",2019,18527449.0
South Africa,"Population ages 15-64, male",2020,18777739.0
South Africa,"Population ages 15-64, male",2021,19028342.0
South Africa,"Population ages 15-64, male",2022,19282735.0
