Country or Area,Item,Year,Value
South Africa,"Population ages 35-39, male (% of male population)",1985,6.01857770114372
South Africa,"Population ages 35-39, male (% of male population)",1986,5.89577367217648
South Africa,"Population ages 35-39, male (% of male population)",1987,5.85861578945265
South Africa,"Population ages 35-39, male (% of male population)",1988,5.79543261904419
South Africa,"Population ages 35-39, male (% of male population)",1989,5.72016818058879
South Africa,"Population ages 35-39, male (% of male population)",1990,5.62952875827229
South Africa,"Population ages 35-39, male (% of male population)",1991,5.4948341089041
South Africa,"Population ages 35-39, male (% of male population)",1992,5.30412203858721
South Africa,"Population ages 35-39, male (% of male population)",1993,5.09795291751963
South Africa,"Population ages 35-39, male (% of male population)",1994,4.95921800845748
South Africa,"Population ages 35-39, male (% of male population)",1995,4.92082712973943
South Africa,"Population ages 35-39, male (% of male population)",1996,4.99915418481628
South Africa,"Population ages 35-39, male (% of male population)",1997,5.24400867917791
South Africa,"Population ages 35-39, male (% of male population)",1998,5.61999144377044
South Africa,"Population ages 35-39, male (% of male population)",1999,6.05466066533972
South Africa,"Population ages 35-39, male (% of male population)",2000,6.5130347232757
South Africa,"Population ages 35-39, male (% of male population)",2001,6.93382001488653
South Africa,"Population ages 35-39, male (% of male population)",2002,7.27642611654759
South Africa,"Population ages 35-39, male (% of male population)",2003,7.52953396678258
South Africa,"Population ages 35-39, male (% of male population)",2004,7.67848986533044
South Africa,"Population ages 35-39, male (% of male population)",2005,7.70837867924968
South Africa,"Population ages 35-39, male (% of male population)",2006,7.61766879905089
South Africa,"Population ages 35-39, male (% of male population)",2007,7.40643892073319
South Africa,"Population ages 35-39, male (% of male population)",2008,7.08223192864282
South Africa,"Population ages 35-39, male (% of male population)",2009,6.69067786171935
South Africa,"Population ages 35-39, male (% of male population)",2010,6.30250349543578
South Africa,"Population ages 35-39, male (% of male population)",2011,5.98185649475048
South Africa,"Population ages 35-39, male (% of male population)",2012,5.79926284305184
South Africa,"Population ages 35-39, male (% of male population)",2013,5.81220605020233
South Africa,"Population ages 35-39, male (% of male population)",2014,6.04993595354354
South Africa,"Population ages 35-39, male (% of male population)",2015,6.48607421495313
South Africa,"Population ages 35-39, male (% of male population)",2016,6.95225956952262
South Africa,"Population ages 35-39, male (% of male population)",2017,7.39441679245128
South Africa,"Population ages 35-39, male (% of male population)",2018,7.79563594352935
South Africa,"Population ages 35-39, male (% of male population)",2019,8.09914446631948
South Africa,"Population ages 35-39, male (% of male population)",2020,8.32861862711674
South Africa,"Population ages 35-39, male (% of male population)",2021,8.56037035421331
South Africa,"Population ages 35-39, male (% of male population)",2022,8.81627458524247
