Country or Area,Item,Year,Value
South Africa,"Population ages 65 and above, male",1985,582682.0
South Africa,"Population ages 65 and above, male",1986,597146.0
South Africa,"Population ages 65 and above, male",1987,611871.0
South Africa,"Population ages 65 and above, male",1988,625801.0
South Africa,"Population ages 65 and above, male",1989,638332.0
South Africa,"Population ages 65 and above, male",1990,649068.0
South Africa,"Population ages 65 and above, male",1991,657476.0
South Africa,"Population ages 65 and above, male",1992,664061.0
South Africa,"Population ages 65 and above, male",1993,669478.0
South Africa,"Population ages 65 and above, male",1994,673279.0
South Africa,"Population ages 65 and above, male",1995,675532.0
South Africa,"Population ages 65 and above, male",1996,677666.0
South Africa,"Population ages 65 and above, male",1997,678726.0
South Africa,"Population ages 65 and above, male",1998,677982.0
South Africa,"Population ages 65 and above, male",1999,677352.0
South Africa,"Population ages 65 and above, male",2000,679885.0
South Africa,"Population ages 65 and above, male",2001,687292.0
South Africa,"Population ages 65 and above, male",2002,699191.0
South Africa,"Population ages 65 and above, male",2003,714688.0
South Africa,"Population ages 65 and above, male",2004,733382.0
South Africa,"Population ages 65 and above, male",2005,755537.0
South Africa,"Population ages 65 and above, male",2006,778712.0
South Africa,"Population ages 65 and above, male",2007,802139.0
South Africa,"Population ages 65 and above, male",2008,826840.0
South Africa,"Population ages 65 and above, male",2009,852147.0
South Africa,"Population ages 65 and above, male",2010,878652.0
South Africa,"Population ages 65 and above, male",2011,906394.0
South Africa,"Population ages 65 and above, male",2012,937151.0
South Africa,"Population ages 65 and above, male",2013,972925.0
South Africa,"Population ages 65 and above, male",2014,1009901.0
South Africa,"Population ages 65 and above, male",2015,1048250.0
South Africa,"Population ages 65 and above, male",2016,1084064.0
South Africa,"Population ages 65 and above, male",2017,1117299.0
South Africa,"Population ages 65 and above, male",2018,1151914.0
South Africa,"Population ages 65 and above, male",2019,1183770.0
South Africa,"Population ages 65 and above, male",2020,1203270.0
South Africa,"Population ages 65 and above, male",2021,1200226.0
South Africa,"Population ages 65 and above, male",2022,1183650.0
