Country or Area,Item,Year,Value
South Africa,"Population ages 65 and above, female",1985,748282.0
South Africa,"Population ages 65 and above, female",1986,778361.0
South Africa,"Population ages 65 and above, female",1987,803325.0
South Africa,"Population ages 65 and above, female",1988,830229.0
South Africa,"Population ages 65 and above, female",1989,859459.0
South Africa,"Population ages 65 and above, female",1990,890975.0
South Africa,"Population ages 65 and above, female",1991,925217.0
South Africa,"Population ages 65 and above, female",1992,965727.0
South Africa,"Population ages 65 and above, female",1993,1011523.0
South Africa,"Population ages 65 and above, female",1994,1057274.0
South Africa,"Population ages 65 and above, female",1995,1102145.0
South Africa,"Population ages 65 and above, female",1996,1147239.0
South Africa,"Population ages 65 and above, female",1997,1186013.0
South Africa,"Population ages 65 and above, female",1998,1215597.0
South Africa,"Population ages 65 and above, female",1999,1241302.0
South Africa,"Population ages 65 and above, female",2000,1266125.0
South Africa,"Population ages 65 and above, female",2001,1291857.0
South Africa,"Population ages 65 and above, female",2002,1319623.0
South Africa,"Population ages 65 and above, female",2003,1350073.0
South Africa,"Population ages 65 and above, female",2004,1385017.0
South Africa,"Population ages 65 and above, female",2005,1423818.0
South Africa,"Population ages 65 and above, female",2006,1463373.0
South Africa,"Population ages 65 and above, female",2007,1504933.0
South Africa,"Population ages 65 and above, female",2008,1551086.0
South Africa,"Population ages 65 and above, female",2009,1601308.0
South Africa,"Population ages 65 and above, female",2010,1655425.0
South Africa,"Population ages 65 and above, female",2011,1713113.0
South Africa,"Population ages 65 and above, female",2012,1776216.0
South Africa,"Population ages 65 and above, female",2013,1846023.0
South Africa,"Population ages 65 and above, female",2014,1916878.0
South Africa,"Population ages 65 and above, female",2015,1987079.0
South Africa,"Population ages 65 and above, female",2016,2058795.0
South Africa,"Population ages 65 and above, female",2017,2132396.0
South Africa,"Population ages 65 and above, female",2018,2204819.0
South Africa,"Population ages 65 and above, female",2019,2272432.0
South Africa,"Population ages 65 and above, female",2020,2325160.0
South Africa,"Population ages 65 and above, female",2021,2346756.0
South Africa,"Population ages 65 and above, female",2022,2345891.0
