Country or Area,Item,Year,Value
South Africa,Population ages 65 and above (% of total population),1985,3.94325073199497
South Africa,Population ages 65 and above (% of total population),1986,3.94378280405519
South Africa,Population ages 65 and above (% of total population),1987,3.91811083554616
South Africa,Population ages 65 and above (% of total population),1988,3.89376831534317
South Africa,Population ages 65 and above (% of total population),1989,3.87339532940919
South Africa,Population ages 65 and above (% of total population),1990,3.86192664196941
South Africa,Population ages 65 and above (% of total population),1991,3.86862849962315
South Africa,Population ages 65 and above (% of total population),1992,3.90267968095883
South Africa,Population ages 65 and above (% of total population),1993,3.95293024654266
South Africa,Population ages 65 and above (% of total population),1994,3.9996145879835
South Africa,Population ages 65 and above (% of total population),1995,4.04145206470301
South Africa,Population ages 65 and above (% of total population),1996,4.08607138344238
South Africa,Population ages 65 and above (% of total population),1997,4.11777962432788
South Africa,Population ages 65 and above (% of total population),1998,4.12974815486636
South Africa,Population ages 65 and above (% of total population),1999,4.13817897142246
South Africa,Population ages 65 and above (% of total population),2000,4.15696166292864
South Africa,Population ages 65 and above (% of total population),2001,4.19047424254993
South Africa,Population ages 65 and above (% of total population),2002,4.23573195518158
South Africa,Population ages 65 and above (% of total population),2003,4.29228113721031
South Africa,Population ages 65 and above (% of total population),2004,4.36278812591735
South Africa,Population ages 65 and above (% of total population),2005,4.44610735457423
South Africa,Population ages 65 and above (% of total population),2006,4.53021812360022
South Africa,Population ages 65 and above (% of total population),2007,4.61450543901984
South Africa,Population ages 65 and above (% of total population),2008,4.70263683296532
South Africa,Population ages 65 and above (% of total population),2009,4.79463972983487
South Africa,Population ages 65 and above (% of total population),2010,4.89346691391624
South Africa,Population ages 65 and above (% of total population),2011,4.99493019373838
South Africa,Population ages 65 and above (% of total population),2012,5.10559001816783
South Africa,Population ages 65 and above (% of total population),2013,5.23252049760313
South Africa,Population ages 65 and above (% of total population),2014,5.34771425404166
South Africa,Population ages 65 and above (% of total population),2015,5.43221082693362
South Africa,Population ages 65 and above (% of total population),2016,5.57024523302841
South Africa,Population ages 65 and above (% of total population),2017,5.73733422835895
South Africa,Population ages 65 and above (% of total population),2018,5.8541242894204
South Africa,Population ages 65 and above (% of total population),2019,5.95003826584081
South Africa,Population ages 65 and above (% of total population),2020,6.00053469336587
South Africa,Population ages 65 and above (% of total population),2021,5.97213054126334
South Africa,Population ages 65 and above (% of total population),2022,5.89299052905826
