Country or Area,Item,Year,Value
South Africa,"Population ages 65 and above, total",1985,1330964.0
South Africa,"Population ages 65 and above, total",1986,1375506.0
South Africa,"Population ages 65 and above, total",1987,1415195.0
South Africa,"Population ages 65 and above, total",1988,1456030.0
South Africa,"Population ages 65 and above, total",1989,1497791.0
South Africa,"Population ages 65 and above, total",1990,1540043.0
South Africa,"Population ages 65 and above, total",1991,1582693.0
South Africa,"Population ages 65 and above, total",1992,1629788.0
South Africa,"Population ages 65 and above, total",1993,1681001.0
South Africa,"Population ages 65 and above, total",1994,1730553.0
South Africa,"Population ages 65 and above, total",1995,1777677.0
South Africa,"Population ages 65 and above, total",1996,1824905.0
South Africa,"Population ages 65 and above, total",1997,1864738.0
South Africa,"Population ages 65 and above, total",1998,1893579.0
South Africa,"Population ages 65 and above, total",1999,1918653.0
South Africa,"Population ages 65 and above, total",2000,1946010.0
South Africa,"Population ages 65 and above, total",2001,1979149.0
South Africa,"Population ages 65 and above, total",2002,2018814.0
South Africa,"Population ages 65 and above, total",2003,2064761.0
South Africa,"Population ages 65 and above, total",2004,2118398.0
South Africa,"Population ages 65 and above, total",2005,2179355.0
South Africa,"Population ages 65 and above, total",2006,2242084.0
South Africa,"Population ages 65 and above, total",2007,2307072.0
South Africa,"Population ages 65 and above, total",2008,2377926.0
South Africa,"Population ages 65 and above, total",2009,2453454.0
South Africa,"Population ages 65 and above, total",2010,2534078.0
South Africa,"Population ages 65 and above, total",2011,2619507.0
South Africa,"Population ages 65 and above, total",2012,2713367.0
South Africa,"Population ages 65 and above, total",2013,2818948.0
South Africa,"Population ages 65 and above, total",2014,2926780.0
South Africa,"Population ages 65 and above, total",2015,3035329.0
South Africa,"Population ages 65 and above, total",2016,3142859.0
South Africa,"Population ages 65 and above, total",2017,3249695.0
South Africa,"Population ages 65 and above, total",2018,3356734.0
South Africa,"Population ages 65 and above, total",2019,3456202.0
South Africa,"Population ages 65 and above, total",2020,3528430.0
South Africa,"Population ages 65 and above, total",2021,3546983.0
South Africa,"Population ages 65 and above, total",2022,3529541.0
