Country or Area,Item,Year,Value
South Africa,"Population ages 80 and above, female (% of female population)",1985,0.635744279709273
South Africa,"Population ages 80 and above, female (% of female population)",1986,0.639246145279607
South Africa,"Population ages 80 and above, female (% of female population)",1987,0.647339585211379
South Africa,"Population ages 80 and above, female (% of female population)",1988,0.654252262718931
South Africa,"Population ages 80 and above, female (% of female population)",1989,0.660091109890646
South Africa,"Population ages 80 and above, female (% of female population)",1990,0.665721223536093
South Africa,"Population ages 80 and above, female (% of female population)",1991,0.674508213759956
South Africa,"Population ages 80 and above, female (% of female population)",1992,0.684348363370105
South Africa,"Population ages 80 and above, female (% of female population)",1993,0.692220468109999
South Africa,"Population ages 80 and above, female (% of female population)",1994,0.699673359818945
South Africa,"Population ages 80 and above, female (% of female population)",1995,0.709077860888953
South Africa,"Population ages 80 and above, female (% of female population)",1996,0.722904712568843
South Africa,"Population ages 80 and above, female (% of female population)",1997,0.742273617382428
South Africa,"Population ages 80 and above, female (% of female population)",1998,0.765045909442302
South Africa,"Population ages 80 and above, female (% of female population)",1999,0.789022215462882
South Africa,"Population ages 80 and above, female (% of female population)",2000,0.816230522515585
South Africa,"Population ages 80 and above, female (% of female population)",2001,0.844412400457875
South Africa,"Population ages 80 and above, female (% of female population)",2002,0.873744292072926
South Africa,"Population ages 80 and above, female (% of female population)",2003,0.908278876019065
South Africa,"Population ages 80 and above, female (% of female population)",2004,0.952651174340035
South Africa,"Population ages 80 and above, female (% of female population)",2005,1.00592936466883
South Africa,"Population ages 80 and above, female (% of female population)",2006,1.06237866469051
South Africa,"Population ages 80 and above, female (% of female population)",2007,1.11895613842721
South Africa,"Population ages 80 and above, female (% of female population)",2008,1.17388823771887
South Africa,"Population ages 80 and above, female (% of female population)",2009,1.22484721517346
South Africa,"Population ages 80 and above, female (% of female population)",2010,1.2695246595684
South Africa,"Population ages 80 and above, female (% of female population)",2011,1.30185931651212
South Africa,"Population ages 80 and above, female (% of female population)",2012,1.32529724552513
South Africa,"Population ages 80 and above, female (% of female population)",2013,1.34220410277577
South Africa,"Population ages 80 and above, female (% of female population)",2014,1.34905882066001
South Africa,"Population ages 80 and above, female (% of female population)",2015,1.34741070210887
South Africa,"Population ages 80 and above, female (% of female population)",2016,1.36223114735624
South Africa,"Population ages 80 and above, female (% of female population)",2017,1.39344782036157
South Africa,"Population ages 80 and above, female (% of female population)",2018,1.4198205515944
South Africa,"Population ages 80 and above, female (% of female population)",2019,1.44844860069694
South Africa,"Population ages 80 and above, female (% of female population)",2020,1.47598324583526
South Africa,"Population ages 80 and above, female (% of female population)",2021,1.47887968994591
South Africa,"Population ages 80 and above, female (% of female population)",2022,1.45686472538565
