Country or Area,Item,Year,Value
South Africa,"Population ages 80 and above, male (% of male population)",1985,0.45362308662068
South Africa,"Population ages 80 and above, male (% of male population)",1986,0.464711841257839
South Africa,"Population ages 80 and above, male (% of male population)",1987,0.468055867191242
South Africa,"Population ages 80 and above, male (% of male population)",1988,0.47001214231987
South Africa,"Population ages 80 and above, male (% of male population)",1989,0.471147539458443
South Africa,"Population ages 80 and above, male (% of male population)",1990,0.472670732254517
South Africa,"Population ages 80 and above, male (% of male population)",1991,0.475729209046212
South Africa,"Population ages 80 and above, male (% of male population)",1992,0.481896510763872
South Africa,"Population ages 80 and above, male (% of male population)",1993,0.490146543704173
South Africa,"Population ages 80 and above, male (% of male population)",1994,0.497310556772062
South Africa,"Population ages 80 and above, male (% of male population)",1995,0.503896098691626
South Africa,"Population ages 80 and above, male (% of male population)",1996,0.512930123375091
South Africa,"Population ages 80 and above, male (% of male population)",1997,0.522949152735574
South Africa,"Population ages 80 and above, male (% of male population)",1998,0.532239407634304
South Africa,"Population ages 80 and above, male (% of male population)",1999,0.542177483184317
South Africa,"Population ages 80 and above, male (% of male population)",2000,0.555372873607248
South Africa,"Population ages 80 and above, male (% of male population)",2001,0.570924379627025
South Africa,"Population ages 80 and above, male (% of male population)",2002,0.585192154557708
South Africa,"Population ages 80 and above, male (% of male population)",2003,0.597115433142382
South Africa,"Population ages 80 and above, male (% of male population)",2004,0.607572333142135
South Africa,"Population ages 80 and above, male (% of male population)",2005,0.617386540223209
South Africa,"Population ages 80 and above, male (% of male population)",2006,0.623288613379702
South Africa,"Population ages 80 and above, male (% of male population)",2007,0.624519558824772
South Africa,"Population ages 80 and above, male (% of male population)",2008,0.622711722603526
South Africa,"Population ages 80 and above, male (% of male population)",2009,0.617396467320983
South Africa,"Population ages 80 and above, male (% of male population)",2010,0.60926670284357
South Africa,"Population ages 80 and above, male (% of male population)",2011,0.595541943504838
South Africa,"Population ages 80 and above, male (% of male population)",2012,0.580132316029118
South Africa,"Population ages 80 and above, male (% of male population)",2013,0.568861621130121
South Africa,"Population ages 80 and above, male (% of male population)",2014,0.560117586392247
South Africa,"Population ages 80 and above, male (% of male population)",2015,0.554300086792996
South Africa,"Population ages 80 and above, male (% of male population)",2016,0.563203263238076
South Africa,"Population ages 80 and above, male (% of male population)",2017,0.581752893413262
South Africa,"Population ages 80 and above, male (% of male population)",2018,0.597445970457886
South Africa,"Population ages 80 and above, male (% of male population)",2019,0.614902923550077
South Africa,"Population ages 80 and above, male (% of male population)",2020,0.626114734991175
South Africa,"Population ages 80 and above, male (% of male population)",2021,0.618200104701194
South Africa,"Population ages 80 and above, male (% of male population)",2022,0.597140579304598
