Country or Area,Item,Year,Value
South Africa,Population density (people per sq. km of land area),1985,27.8239570023659
South Africa,Population density (people per sq. km of land area),1986,28.751233626524
South Africa,Population density (people per sq. km of land area),1987,29.774652334122
South Africa,Population density (people per sq. km of land area),1988,30.8252916106802
South Africa,Population density (people per sq. km of land area),1989,31.8761872573346
South Africa,Population density (people per sq. km of land area),1990,32.8727217271596
South Africa,Population density (people per sq. km of land area),1991,33.7245867990009
South Africa,Population density (people per sq. km of land area),1992,34.4251086069459
South Africa,Population density (people per sq. km of land area),1993,35.0554699156699
South Africa,Population density (people per sq. km of land area),1994,35.6675778384126
South Africa,Population density (people per sq. km of land area),1995,36.2595388635633
South Africa,Population density (people per sq. km of land area),1996,36.8163969697219
South Africa,Population density (people per sq. km of land area),1997,37.3303283350782
South Africa,Population density (people per sq. km of land area),1998,37.7978270367409
South Africa,Population density (people per sq. km of land area),1999,38.2203142388446
South Africa,Population density (people per sq. km of land area),2000,38.5901013115268
South Africa,Population density (people per sq. km of land area),2001,38.9333965328211
South Africa,Population density (people per sq. km of land area),2002,39.2893470393788
South Africa,Population density (people per sq. km of land area),2003,39.6541460237905
South Africa,Population density (people per sq. km of land area),2004,40.0267671813303
South Africa,Population density (people per sq. km of land area),2005,40.4068510992589
South Africa,Population density (people per sq. km of land area),2006,40.7980908259074
South Africa,Population density (people per sq. km of land area),2007,41.2138373904657
South Africa,Population density (people per sq. km of land area),2008,41.6834793791063
South Africa,Population density (people per sq. km of land area),2009,42.1821785687789
South Africa,Population density (people per sq. km of land area),2010,42.68844108846
South Africa,Population density (people per sq. km of land area),2011,43.2311905959162
South Africa,Population density (people per sq. km of land area),2012,43.8096373723302
South Africa,Population density (people per sq. km of land area),2013,44.4102383170251
South Africa,Population density (people per sq. km of land area),2014,45.1158207552614
South Africa,Population density (people per sq. km of land area),2015,46.061301304932
South Africa,Population density (people per sq. km of land area),2016,46.511201971824
South Africa,Population density (people per sq. km of land area),2017,46.6916791004789
South Africa,Population density (people per sq. km of land area),2018,47.2674203892539
South Africa,Population density (people per sq. km of land area),2019,47.8835494481036
South Africa,Population density (people per sq. km of land area),2020,48.4728478513548
South Africa,Population density (people per sq. km of land area),2021,48.9594795110008
