Country or Area,Item,Year,Value
South Africa,"Population, female",1985,17243333.0
South Africa,"Population, female",1986,17993069.0
South Africa,"Population, female",1987,18604223.0
South Africa,"Population, female",1988,19231343.0
South Africa,"Population, female",1989,19858547.0
South Africa,"Population, female",1990,20454959.0
South Africa,"Population, female",1991,20972094.0
South Africa,"Population, female",1992,21471959.0
South Africa,"Population, female",1993,22006067.0
South Africa,"Population, female",1994,22522796.0
South Africa,"Population, female",1995,23025116.0
South Africa,"Population, female",1996,23507455.0
South Africa,"Population, female",1997,23879335.0
South Africa,"Population, female",1998,24148681.0
South Africa,"Population, female",1999,24387653.0
South Africa,"Population, female",2000,24591889.0
South Africa,"Population, female",2001,24781908.0
South Africa,"Population, female",2002,24979734.0
South Africa,"Population, female",2003,25178665.0
South Africa,"Population, female",2004,25379489.0
South Africa,"Population, female",2005,25583854.0
South Africa,"Population, female",2006,25795511.0
South Africa,"Population, female",2007,26023987.0
South Africa,"Population, female",2008,26287724.0
South Africa,"Population, female",2009,26570865.0
South Africa,"Population, female",2010,26857414.0
South Africa,"Population, female",2011,27164417.0
South Africa,"Population, female",2012,27493643.0
South Africa,"Population, female",2013,27837495.0
South Africa,"Population, female",2014,28228865.0
South Africa,"Population, female",2015,28721087.0
South Africa,"Population, female",2016,29004108.0
South Africa,"Population, female",2017,29175940.0
South Africa,"Population, female",2018,29517286.0
South Africa,"Population, female",2019,29879107.0
South Africa,"Population, female",2020,30221143.0
South Africa,"Population, female",2021,30497646.0
South Africa,"Population, female",2022,30725879.0
