Country or Area,Item,Year,Value
South Africa,"Population, female (% of total population)",1985,51.0868704745456
South Africa,"Population, female (% of total population)",1986,51.5888371967135
South Africa,"Population, female (% of total population)",1987,51.5076593468656
South Africa,"Population, female (% of total population)",1988,51.4291560166319
South Africa,"Population, female (% of total population)",1989,51.3556318596206
South Africa,"Population, female (% of total population)",1990,51.2943968250824
South Africa,"Population, female (% of total population)",1991,51.2627777803987
South Africa,"Population, female (% of total population)",1992,51.4165967545366
South Africa,"Population, female (% of total population)",1993,51.7480054292207
South Africa,"Population, female (% of total population)",1994,52.0541863958435
South Africa,"Population, female (% of total population)",1995,52.346364818473
South Africa,"Population, female (% of total population)",1996,52.6345975535182
South Africa,"Population, female (% of total population)",1997,52.7311685746695
South Africa,"Population, female (% of total population)",1998,52.6663909399613
South Africa,"Population, female (% of total population)",1999,52.5996350541051
South Africa,"Population, female (% of total population)",2000,52.5318805998283
South Africa,"Population, female (% of total population)",2001,52.4710100933493
South Africa,"Population, female (% of total population)",2002,52.4107018505539
South Africa,"Population, female (% of total population)",2003,52.3420918755112
South Africa,"Population, female (% of total population)",2004,52.2684156220136
South Africa,"Population, female (% of total population)",2005,52.1936823454862
South Africa,"Population, female (% of total population)",2006,52.1208239206546
South Africa,"Population, female (% of total population)",2007,52.0520403053887
South Africa,"Population, female (% of total population)",2008,51.9871489456157
South Africa,"Population, female (% of total population)",2009,51.9258559655697
South Africa,"Population, female (% of total population)",2010,51.8633870272777
South Africa,"Population, female (% of total population)",2011,51.7976634776685
South Africa,"Population, female (% of total population)",2012,51.733231589112
South Africa,"Population, female (% of total population)",2013,51.6718517650644
South Africa,"Population, female (% of total population)",2014,51.5788353535003
South Africa,"Population, female (% of total population)",2015,51.4010092685827
South Africa,"Population, female (% of total population)",2016,51.4054219083761
South Africa,"Population, female (% of total population)",2017,51.5100940024073
South Africa,"Population, female (% of total population)",2018,51.4779802836206
South Africa,"Population, female (% of total population)",2019,51.4384952034494
South Africa,"Population, female (% of total population)",2020,51.394817384131
South Africa,"Population, female (% of total population)",2021,51.3495337060363
South Africa,"Population, female (% of total population)",2022,51.3005275914227
