Country or Area,Item,Year,Value
South Africa,Population growth (annual %),1985,2.96094891488538
South Africa,Population growth (annual %),1986,3.27832628041109
South Africa,Population growth (annual %),1987,3.49767636658567
South Africa,Population growth (annual %),1988,3.46780704688293
South Africa,Population growth (annual %),1989,3.35237408677025
South Africa,Population growth (annual %),1990,3.0783936947649
South Africa,Population growth (annual %),1991,2.55839629290863
South Africa,Population growth (annual %),1992,2.05590495450165
South Africa,Population growth (annual %),1993,1.81454621703216
South Africa,Population growth (annual %),1994,1.7310430672935
South Africa,Population growth (annual %),1995,1.64603954100981
South Africa,Population growth (annual %),1996,1.52408280185649
South Africa,Population growth (annual %),1997,1.38627725951906
South Africa,Population growth (annual %),1998,1.24455268099471
South Africa,Population growth (annual %),1999,1.1115545448798
South Africa,Population growth (annual %),2000,0.962864025570883
South Africa,Population growth (annual %),2001,0.885660412204392
South Africa,Population growth (annual %),2002,0.910100943022538
South Africa,Population growth (annual %),2003,0.924209372808693
South Africa,Population growth (annual %),2004,0.935290168887955
South Africa,Population growth (annual %),2005,0.945094240817718
South Africa,Population growth (annual %),2006,0.963593457802097
South Africa,Population growth (annual %),2007,1.01387721267549
South Africa,Population growth (annual %),2008,1.13308133870917
South Africa,Population growth (annual %),2009,1.18929507013328
South Africa,Population growth (annual %),2010,1.19303600363508
South Africa,Population growth (annual %),2011,1.26340561811428
South Africa,Population growth (annual %),2012,1.32915852455183
South Africa,Population growth (annual %),2013,1.36162110707575
South Africa,Population growth (annual %),2014,1.57629422132566
South Africa,Population growth (annual %),2015,2.07401685853513
South Africa,Population growth (annual %),2016,0.97200398206436
South Africa,Population growth (annual %),2017,0.387278487857363
South Africa,Population growth (annual %),2018,1.22553003994341
South Africa,Population growth (annual %),2019,1.29507386292128
South Africa,Population growth (annual %),2020,1.22317929511453
South Africa,Population growth (annual %),2021,0.998920418563044
South Africa,Population growth (annual %),2022,0.841058243677696
