Country or Area,Item,Year,Value
South Africa,Population in largest city,1985,1925491.0
South Africa,Population in largest city,1986,1969351.0
South Africa,Population in largest city,1987,2014211.0
South Africa,Population in largest city,1988,2060157.0
South Africa,Population in largest city,1989,2107020.0
South Africa,Population in largest city,1990,2155016.0
South Africa,Population in largest city,1991,2206438.0
South Africa,Population in largest city,1992,2264303.0
South Africa,Population in largest city,1993,2323520.0
South Africa,Population in largest city,1994,2384371.0
South Africa,Population in largest city,1995,2446815.0
South Africa,Population in largest city,1996,2555956.0
South Africa,Population in largest city,1997,2676412.0
South Africa,Population in largest city,1998,2794141.0
South Africa,Population in largest city,1999,2917048.0
South Africa,Population in largest city,2000,3045543.0
South Africa,Population in largest city,2001,3179320.0
South Africa,Population in largest city,2002,3292493.0
South Africa,Population in largest city,2003,3399183.0
South Africa,Population in largest city,2004,3509485.0
South Africa,Population in largest city,2005,3623048.0
South Africa,Population in largest city,2006,3740450.0
South Africa,Population in largest city,2007,3861657.0
South Africa,Population in largest city,2008,3986966.0
South Africa,Population in largest city,2009,4115979.0
South Africa,Population in largest city,2010,4249354.0
South Africa,Population in largest city,2011,4387051.0
South Africa,Population in largest city,2012,4529409.0
South Africa,Population in largest city,2013,4676386.0
South Africa,Population in largest city,2014,4828133.0
South Africa,Population in largest city,2015,4984804.0
South Africa,Population in largest city,2016,5146559.0
South Africa,Population in largest city,2017,5313563.0
South Africa,Population in largest city,2018,5485986.0
South Africa,Population in largest city,2019,5635127.0
South Africa,Population in largest city,2020,5782747.0
South Africa,Population in largest city,2021,5926668.0
South Africa,Population in largest city,2022,6065354.0
South Africa,Population in largest city,2023,6198016.0
