Country or Area,Item,Year,Value
South Africa,Population in the largest city (% of urban population),1985,11.5544390646159
South Africa,Population in the largest city (% of urban population),1986,11.3143488000511
South Africa,Population in the largest city (% of urban population),1987,11.0560191632228
South Africa,Population in the largest city (% of urban population),1988,10.8085745337387
South Africa,Population in the largest city (% of urban population),1989,10.5793714958989
South Africa,Population in the largest city (% of urban population),1990,10.3850732474741
South Africa,Population in the largest city (% of urban population),1991,10.262337650861
South Africa,Population in the largest city (% of urban population),1992,10.2230165972213
South Africa,Population in the largest city (% of urban population),1993,10.208768956084
South Africa,Population in the largest city (% of urban population),1994,10.204254041084
South Africa,Population in the largest city (% of urban population),1995,10.2094160882354
South Africa,Population in the largest city (% of urban population),1996,10.4115895206607
South Africa,Population in the largest city (% of urban population),1997,10.6587045072609
South Africa,Population in the largest city (% of urban population),1998,10.8954118203248
South Africa,Population in the largest city (% of urban population),1999,11.1530205950882
South Africa,Population in the largest city (% of urban population),2000,11.4354228765681
South Africa,Population in the largest city (% of urban population),2001,11.7340847903257
South Africa,Population in the largest city (% of urban population),2002,11.9314567247047
South Africa,Population in the largest city (% of urban population),2003,12.0903292105835
South Africa,Population in the largest city (% of urban population),2004,12.2517850869566
South Africa,Population in the largest city (% of urban population),2005,12.414990736511
South Africa,Population in the largest city (% of urban population),2006,12.5800612797253
South Africa,Population in the largest city (% of urban population),2007,12.7423740907301
South Africa,Population in the largest city (% of urban population),2008,12.8931986164222
South Africa,Population in the largest city (% of urban population),2009,13.0393960942057
South Africa,Population in the largest city (% of urban population),2010,13.1887473757386
South Africa,Population in the largest city (% of urban population),2011,13.3320340803795
South Africa,Population in the largest city (% of urban population),2012,13.4699907883575
South Africa,Population in the largest city (% of urban population),2013,13.6069627913457
South Africa,Population in the largest city (% of urban population),2014,13.7171953063142
South Africa,Population in the largest city (% of urban population),2015,13.7611978040847
South Africa,Population in the largest city (% of urban population),2016,13.9598449318111
South Africa,Population in the largest city (% of urban population),2017,14.2461509439749
South Africa,Population in the largest city (% of urban population),2018,14.418700308284
South Africa,Population in the largest city (% of urban population),2019,14.5105530801193
South Africa,Population in the largest city (% of urban population),2020,14.6008869991377
South Africa,Population in the largest city (% of urban population),2021,14.7078820473457
South Africa,Population in the largest city (% of urban population),2022,14.8193949807965
South Africa,Population in the largest city (% of urban population),2023,14.9074440844213
