Country or Area,Item,Year,Value
South Africa,Population in urban agglomerations of more than 1 million,1985,7649667.0
South Africa,Population in urban agglomerations of more than 1 million,1986,7876037.0
South Africa,Population in urban agglomerations of more than 1 million,1987,8109555.0
South Africa,Population in urban agglomerations of more than 1 million,1988,8350799.0
South Africa,Population in urban agglomerations of more than 1 million,1989,8599005.0
South Africa,Population in urban agglomerations of more than 1 million,1990,8855441.0
South Africa,Population in urban agglomerations of more than 1 million,1991,9148137.0
South Africa,Population in urban agglomerations of more than 1 million,1992,9515818.0
South Africa,Population in urban agglomerations of more than 1 million,1993,9901051.0
South Africa,Population in urban agglomerations of more than 1 million,1994,10306434.0
South Africa,Population in urban agglomerations of more than 1 million,1995,10732551.0
South Africa,Population in urban agglomerations of more than 1 million,1996,11181214.0
South Africa,Population in urban agglomerations of more than 1 million,1997,11592022.0
South Africa,Population in urban agglomerations of more than 1 million,1998,11996588.0
South Africa,Population in urban agglomerations of more than 1 million,1999,12416495.0
South Africa,Population in urban agglomerations of more than 1 million,2000,12852959.0
South Africa,Population in urban agglomerations of more than 1 million,2001,13304774.0
South Africa,Population in urban agglomerations of more than 1 million,2002,13668832.0
South Africa,Population in urban agglomerations of more than 1 million,2003,14003132.0
South Africa,Population in urban agglomerations of more than 1 million,2004,14347725.0
South Africa,Population in urban agglomerations of more than 1 million,2005,14701493.0
South Africa,Population in urban agglomerations of more than 1 million,2006,15066204.0
South Africa,Population in urban agglomerations of more than 1 million,2007,15441719.0
South Africa,Population in urban agglomerations of more than 1 million,2008,15828930.0
South Africa,Population in urban agglomerations of more than 1 million,2009,16226580.0
South Africa,Population in urban agglomerations of more than 1 million,2010,16636669.0
South Africa,Population in urban agglomerations of more than 1 million,2011,17059047.0
South Africa,Population in urban agglomerations of more than 1 million,2012,17494728.0
South Africa,Population in urban agglomerations of more than 1 million,2013,17943558.0
South Africa,Population in urban agglomerations of more than 1 million,2014,18405971.0
South Africa,Population in urban agglomerations of more than 1 million,2015,18882420.0
South Africa,Population in urban agglomerations of more than 1 million,2016,19373371.0
South Africa,Population in urban agglomerations of more than 1 million,2017,19879305.0
South Africa,Population in urban agglomerations of more than 1 million,2018,20400727.0
South Africa,Population in urban agglomerations of more than 1 million,2019,20836302.0
South Africa,Population in urban agglomerations of more than 1 million,2020,21272284.0
South Africa,Population in urban agglomerations of more than 1 million,2021,21704664.0
South Africa,Population in urban agglomerations of more than 1 million,2022,22130615.0
South Africa,Population in urban agglomerations of more than 1 million,2023,22548654.0
