Country or Area,Item,Year,Value
South Africa,Population in urban agglomerations of more than 1 million (% of total population),1985,22.6636896244134
South Africa,Population in urban agglomerations of more than 1 million (% of total population),1986,22.5817836050255
South Africa,Population in urban agglomerations of more than 1 million (% of total population),1987,22.4521172636272
South Africa,Population in urban agglomerations of more than 1 million (% of total population),1988,22.3320100231447
South Africa,Population in urban agglomerations of more than 1 million (% of total population),1989,22.2376458428221
South Africa,Population in urban agglomerations of more than 1 million (% of total population),1990,22.2065712629932
South Africa,Population in urban agglomerations of more than 1 million (% of total population),1991,22.3610915598434
South Africa,Population in urban agglomerations of more than 1 million (% of total population),1992,22.7865085293597
South Africa,Population in urban agglomerations of more than 1 million (% of total population),1993,23.282653865545
South Africa,Population in urban agglomerations of more than 1 million (% of total population),1994,23.8200015891659
South Africa,Population in urban agglomerations of more than 1 million (% of total population),1995,24.3998783797166
South Africa,Population in urban agglomerations of more than 1 million (% of total population),1996,25.0354068124245
South Africa,Population in urban agglomerations of more than 1 million (% of total population),1997,25.5979015413653
South Africa,Population in urban agglomerations of more than 1 million (% of total population),1998,26.163623328067
South Africa,Population in urban agglomerations of more than 1 million (% of total population),1999,26.7800720984147
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2000,27.455804942129
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2001,28.1703463205388
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2002,28.6789714653211
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2003,29.1100906934069
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2004,29.548776712185
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2005,29.9925513820704
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2006,30.4418457086065
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2007,30.8858508026647
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2008,31.3036207151187
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2009,31.7106370415037
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2010,32.1264736505053
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2011,32.5285381886065
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2012,32.9188392826852
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2013,33.3067637412718
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2014,33.6307728890376
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2015,33.7931306511231
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2016,34.3363881434485
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2017,35.096893853378
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2018,35.5787528120819
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2019,35.8708183776919
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2020,36.1761681721757
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2021,36.5446033325389
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2022,36.9497069692507
South Africa,Population in urban agglomerations of more than 1 million (% of total population),2023,37.3232516468109
