Country or Area,Item,Year,Value
South Africa,Population living in slums (% of urban population),2000,27.60971
South Africa,Population living in slums (% of urban population),2002,27.22887
South Africa,Population living in slums (% of urban population),2004,26.84803
South Africa,Population living in slums (% of urban population),2006,26.46718
South Africa,Population living in slums (% of urban population),2008,26.08634
South Africa,Population living in slums (% of urban population),2010,25.7055
South Africa,Population living in slums (% of urban population),2012,25.32466
South Africa,Population living in slums (% of urban population),2014,24.94382
South Africa,Population living in slums (% of urban population),2016,24.56298
South Africa,Population living in slums (% of urban population),2018,24.18213
South Africa,Population living in slums (% of urban population),2020,24.2
