Country or Area,Item,Year,Value
South Africa,"Population, male",1985,16509631.0
South Africa,"Population, male",1986,16884765.0
South Africa,"Population, male",1987,17515110.0
South Africa,"Population, male",1988,18162510.0
South Africa,"Population, male",1989,18810138.0
South Africa,"Population, male",1990,19422611.0
South Africa,"Population, male",1991,19938864.0
South Africa,"Population, male",1992,20288796.0
South Africa,"Population, male",1993,20519374.0
South Africa,"Population, male",1994,20745186.0
South Africa,"Population, male",1995,20960968.0
South Africa,"Population, male",1996,21154148.0
South Africa,"Population, male",1997,21405714.0
South Africa,"Population, male",1998,21703485.0
South Africa,"Population, male",1999,21977029.0
South Africa,"Population, male",2000,22221377.0
South Africa,"Population, male",2001,22447806.0
South Africa,"Population, male",2002,22681781.0
South Africa,"Population, male",2003,22925383.0
South Africa,"Population, male",2004,23176582.0
South Africa,"Population, male",2005,23433293.0
South Africa,"Population, male",2006,23696246.0
South Africa,"Population, male",2007,23972107.0
South Africa,"Population, male",2008,24278088.0
South Africa,"Population, male",2009,24599914.0
South Africa,"Population, male",2010,24927507.0
South Africa,"Population, male",2011,25278908.0
South Africa,"Population, male",2012,25651390.0
South Africa,"Population, male",2013,26036121.0
South Africa,"Population, male",2014,26500685.0
South Africa,"Population, male",2015,27155417.0
South Africa,"Population, male",2016,27418165.0
South Africa,"Population, male",2017,27465269.0
South Africa,"Population, male",2018,27822349.0
South Africa,"Population, male",2019,28207948.0
South Africa,"Population, male",2020,28580784.0
South Africa,"Population, male",2021,28894608.0
South Africa,"Population, male",2022,29168006.0
