Country or Area,Item,Year,Value
South Africa,"Population, total",1985,33752964.0
South Africa,"Population, total",1986,34877834.0
South Africa,"Population, total",1987,36119333.0
South Africa,"Population, total",1988,37393853.0
South Africa,"Population, total",1989,38668684.0
South Africa,"Population, total",1990,39877570.0
South Africa,"Population, total",1991,40910959.0
South Africa,"Population, total",1992,41760755.0
South Africa,"Population, total",1993,42525440.0
South Africa,"Population, total",1994,43267982.0
South Africa,"Population, total",1995,43986084.0
South Africa,"Population, total",1996,44661603.0
South Africa,"Population, total",1997,45285048.0
South Africa,"Population, total",1998,45852166.0
South Africa,"Population, total",1999,46364681.0
South Africa,"Population, total",2000,46813266.0
South Africa,"Population, total",2001,47229714.0
South Africa,"Population, total",2002,47661514.0
South Africa,"Population, total",2003,48104048.0
South Africa,"Population, total",2004,48556071.0
South Africa,"Population, total",2005,49017147.0
South Africa,"Population, total",2006,49491756.0
South Africa,"Population, total",2007,49996094.0
South Africa,"Population, total",2008,50565812.0
South Africa,"Population, total",2009,51170779.0
South Africa,"Population, total",2010,51784921.0
South Africa,"Population, total",2011,52443325.0
South Africa,"Population, total",2012,53145033.0
South Africa,"Population, total",2013,53873616.0
South Africa,"Population, total",2014,54729551.0
South Africa,"Population, total",2015,55876504.0
South Africa,"Population, total",2016,56422274.0
South Africa,"Population, total",2017,56641209.0
South Africa,"Population, total",2018,57339635.0
South Africa,"Population, total",2019,58087055.0
South Africa,"Population, total",2020,58801927.0
South Africa,"Population, total",2021,59392255.0
South Africa,"Population, total",2022,59893885.0
