Country or Area,Item,Year,Value
South Africa,CO2 emissions from gaseous fuel consumption (kt),1985,0.0
South Africa,CO2 emissions from gaseous fuel consumption (kt),1986,0.0
South Africa,CO2 emissions from gaseous fuel consumption (kt),1987,0.0
South Africa,CO2 emissions from gaseous fuel consumption (kt),1988,0.0
South Africa,CO2 emissions from gaseous fuel consumption (kt),1989,0.0
South Africa,CO2 emissions from gaseous fuel consumption (kt),1990,3446.98
South Africa,CO2 emissions from gaseous fuel consumption (kt),1991,3494.651
South Africa,CO2 emissions from gaseous fuel consumption (kt),1992,3520.32
South Africa,CO2 emissions from gaseous fuel consumption (kt),1993,3927.357
South Africa,CO2 emissions from gaseous fuel consumption (kt),1994,3927.357
South Africa,CO2 emissions from gaseous fuel consumption (kt),1995,3927.357
South Africa,CO2 emissions from gaseous fuel consumption (kt),1996,3534.988
South Africa,CO2 emissions from gaseous fuel consumption (kt),1997,3157.287
South Africa,CO2 emissions from gaseous fuel consumption (kt),1998,2658.575
South Africa,CO2 emissions from gaseous fuel consumption (kt),1999,3476.316
South Africa,CO2 emissions from gaseous fuel consumption (kt),2000,3201.291
South Africa,CO2 emissions from gaseous fuel consumption (kt),2001,4158.378
South Africa,CO2 emissions from gaseous fuel consumption (kt),2002,4125.375
South Africa,CO2 emissions from gaseous fuel consumption (kt),2003,2471.558
South Africa,CO2 emissions from gaseous fuel consumption (kt),2004,6369.579
South Africa,CO2 emissions from gaseous fuel consumption (kt),2005,6318.241
South Africa,CO2 emissions from gaseous fuel consumption (kt),2006,6131.224
South Africa,CO2 emissions from gaseous fuel consumption (kt),2007,7898.718
South Africa,CO2 emissions from gaseous fuel consumption (kt),2008,8126.072
South Africa,CO2 emissions from gaseous fuel consumption (kt),2009,7044.307
South Africa,CO2 emissions from gaseous fuel consumption (kt),2010,8874.14
South Africa,CO2 emissions from gaseous fuel consumption (kt),2011,8808.134
South Africa,CO2 emissions from gaseous fuel consumption (kt),2012,9262.842
South Africa,CO2 emissions from gaseous fuel consumption (kt),2013,9391.187
South Africa,CO2 emissions from gaseous fuel consumption (kt),2014,9050.156
South Africa,CO2 emissions from gaseous fuel consumption (kt),2015,9974.24
South Africa,CO2 emissions from gaseous fuel consumption (kt),2016,10131.921
