Country or Area,Item,Year,Value
South Africa,CO2 emissions from gaseous fuel consumption (% of total),1985,0.0
South Africa,CO2 emissions from gaseous fuel consumption (% of total),1986,0.0
South Africa,CO2 emissions from gaseous fuel consumption (% of total),1987,0.0
South Africa,CO2 emissions from gaseous fuel consumption (% of total),1988,0.0
South Africa,CO2 emissions from gaseous fuel consumption (% of total),1989,0.0
South Africa,CO2 emissions from gaseous fuel consumption (% of total),1990,1.39181942986352
South Africa,CO2 emissions from gaseous fuel consumption (% of total),1991,1.44210415549045
South Africa,CO2 emissions from gaseous fuel consumption (% of total),1992,1.47404739971527
South Africa,CO2 emissions from gaseous fuel consumption (% of total),1993,1.59370084811103
South Africa,CO2 emissions from gaseous fuel consumption (% of total),1994,1.55841315820801
South Africa,CO2 emissions from gaseous fuel consumption (% of total),1995,1.48656535069458
South Africa,CO2 emissions from gaseous fuel consumption (% of total),1996,1.29023578363384
South Africa,CO2 emissions from gaseous fuel consumption (% of total),1997,1.09278935345424
South Africa,CO2 emissions from gaseous fuel consumption (% of total),1998,0.896622373613032
South Africa,CO2 emissions from gaseous fuel consumption (% of total),1999,1.24836283980321
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2000,1.12432515014224
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2001,1.29706113537118
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2002,1.24475740751916
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2003,0.699939962051485
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2004,1.67633734242177
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2005,1.6730857430357
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2006,1.61535040573295
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2007,1.99010279667423
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2008,1.90502438109527
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2009,1.74355403197861
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2010,2.08749264896145
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2011,2.15294632381697
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2012,2.17075812612782
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2013,2.14965252821205
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2014,2.02021429528104
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2015,2.34754283562418
South Africa,CO2 emissions from gaseous fuel consumption (% of total),2016,2.38297215297051
