Country or Area,Item,Year,Value
South Africa,CO2 emissions (kg per 2015 US$ of GDP),1990,1.33729819868033
South Africa,CO2 emissions (kg per 2015 US$ of GDP),1991,1.32198036905934
South Africa,CO2 emissions (kg per 2015 US$ of GDP),1992,1.33130433440599
South Africa,CO2 emissions (kg per 2015 US$ of GDP),1993,1.35729860728464
South Africa,CO2 emissions (kg per 2015 US$ of GDP),1994,1.34532478359703
South Africa,CO2 emissions (kg per 2015 US$ of GDP),1995,1.36783245666118
South Africa,CO2 emissions (kg per 2015 US$ of GDP),1996,1.36003773277653
South Africa,CO2 emissions (kg per 2015 US$ of GDP),1997,1.39590938456988
South Africa,CO2 emissions (kg per 2015 US$ of GDP),1998,1.42560175519324
South Africa,CO2 emissions (kg per 2015 US$ of GDP),1999,1.307933153842
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2000,1.28314660971849
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2001,1.40722330532095
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2002,1.40308505461003
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2003,1.45242172539213
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2004,1.4950256008512
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2005,1.41150109287807
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2006,1.34400945394663
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2007,1.33416768052098
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2008,1.39040813075753
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2009,1.33688581155392
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2010,1.36545316449627
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2011,1.27354268582187
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2012,1.29695861990952
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2013,1.29591246155656
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2014,1.31009851983513
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2015,1.22599104985702
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2016,1.21967334473441
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2017,1.23270931513333
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2018,1.2261684175618
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2019,1.24241007047087
South Africa,CO2 emissions (kg per 2015 US$ of GDP),2020,1.1632774364356
