Country or Area,Item,Year,Value
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),1990,0.562323399862459
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),1991,0.555882372693285
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),1992,0.559803026964037
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),1993,0.570733414753763
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),1994,0.565698515841897
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),1995,0.575162815766115
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),1996,0.571885195531429
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),1997,0.586968943655087
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),1998,0.599454352530522
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),1999,0.549975628911374
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2000,0.539553081587128
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2001,0.591726358559852
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2002,0.589986256605372
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2003,0.610731939564836
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2004,0.628646534917693
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2005,0.593525134663331
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2006,0.565145430044221
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2007,0.561007041539062
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2008,0.584655709590823
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2009,0.562149994311468
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2010,0.574162342079128
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2011,0.535514706942719
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2012,0.545360923500935
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2013,0.544921022121865
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2014,0.550886148321634
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2015,0.5155196171182
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2016,0.512863071683995
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2017,0.518344594954168
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2018,0.515594198846401
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2019,0.522423686459732
South Africa,CO2 emissions (kg per 2021 PPP $ of GDP),2020,0.489149034736806
