Country or Area,Item,Year,Value
South Africa,CO2 emissions (kg per PPP $ of GDP),1990,0.952343971821207
South Africa,CO2 emissions (kg per PPP $ of GDP),1991,0.910639859000469
South Africa,CO2 emissions (kg per PPP $ of GDP),1992,0.896629251406417
South Africa,CO2 emissions (kg per PPP $ of GDP),1993,0.892969892916568
South Africa,CO2 emissions (kg per PPP $ of GDP),1994,0.866586982719703
South Africa,CO2 emissions (kg per PPP $ of GDP),1995,0.862989206828597
South Africa,CO2 emissions (kg per PPP $ of GDP),1996,0.842642860391531
South Africa,CO2 emissions (kg per PPP $ of GDP),1997,0.850206741359442
South Africa,CO2 emissions (kg per PPP $ of GDP),1998,0.858627343067372
South Africa,CO2 emissions (kg per PPP $ of GDP),1999,0.776809529637196
South Africa,CO2 emissions (kg per PPP $ of GDP),2000,0.745205288834451
South Africa,CO2 emissions (kg per PPP $ of GDP),2001,0.799257665791202
South Africa,CO2 emissions (kg per PPP $ of GDP),2002,0.784677822064533
South Africa,CO2 emissions (kg per PPP $ of GDP),2003,0.796548762359831
South Africa,CO2 emissions (kg per PPP $ of GDP),2004,0.79847947395812
South Africa,CO2 emissions (kg per PPP $ of GDP),2005,0.730948539400864
South Africa,CO2 emissions (kg per PPP $ of GDP),2006,0.675165086483389
South Africa,CO2 emissions (kg per PPP $ of GDP),2007,0.652584780343669
South Africa,CO2 emissions (kg per PPP $ of GDP),2008,0.667295531618314
South Africa,CO2 emissions (kg per PPP $ of GDP),2009,0.637522451757353
South Africa,CO2 emissions (kg per PPP $ of GDP),2010,0.643412919415644
South Africa,CO2 emissions (kg per PPP $ of GDP),2011,0.587889278514076
South Africa,CO2 emissions (kg per PPP $ of GDP),2012,0.611344490713527
South Africa,CO2 emissions (kg per PPP $ of GDP),2013,0.598148995002542
South Africa,CO2 emissions (kg per PPP $ of GDP),2014,0.603615487060698
South Africa,CO2 emissions (kg per PPP $ of GDP),2015,0.559326730346351
South Africa,CO2 emissions (kg per PPP $ of GDP),2016,0.549899475951268
South Africa,CO2 emissions (kg per PPP $ of GDP),2017,0.549640165116057
South Africa,CO2 emissions (kg per PPP $ of GDP),2018,0.561968920513515
South Africa,CO2 emissions (kg per PPP $ of GDP),2019,0.560959229658058
South Africa,CO2 emissions (kg per PPP $ of GDP),2020,0.511959785239264
