Country or Area,Item,Year,Value
South Africa,CO2 emissions (kt),1990,247614.7
South Africa,CO2 emissions (kt),1991,242286.0
South Africa,CO2 emissions (kt),1992,238780.6
South Africa,CO2 emissions (kt),1993,246445.9
South Africa,CO2 emissions (kt),1994,252088.5
South Africa,CO2 emissions (kt),1995,264251.5
South Africa,CO2 emissions (kt),1996,274043.7
South Africa,CO2 emissions (kt),1997,288584.8
South Africa,CO2 emissions (kt),1998,296196.9
South Africa,CO2 emissions (kt),1999,278270.9
South Africa,CO2 emissions (kt),2000,284463.3
South Africa,CO2 emissions (kt),2001,320393.3
South Africa,CO2 emissions (kt),2002,331272.0
South Africa,CO2 emissions (kt),2003,353033.5
South Africa,CO2 emissions (kt),2004,379939.8
South Africa,CO2 emissions (kt),2005,377642.7
South Africa,CO2 emissions (kt),2006,379736.0
South Africa,CO2 emissions (kt),2007,397161.9
South Africa,CO2 emissions (kt),2008,427111.7
South Africa,CO2 emissions (kt),2009,404354.0
South Africa,CO2 emissions (kt),2010,425548.4
South Africa,CO2 emissions (kt),2011,409480.3
South Africa,CO2 emissions (kt),2012,427001.7
South Africa,CO2 emissions (kt),2013,437261.7
South Africa,CO2 emissions (kt),2014,448298.1
South Africa,CO2 emissions (kt),2015,425063.1
South Africa,CO2 emissions (kt),2016,425682.9
South Africa,CO2 emissions (kt),2017,435214.5
South Africa,CO2 emissions (kt),2018,439644.6
South Africa,CO2 emissions (kt),2019,446626.0
South Africa,CO2 emissions (kt),2020,393241.6
