Country or Area,Item,Year,Value
South Africa,CO2 emissions from liquid fuel consumption (kt),1985,46952.268
South Africa,CO2 emissions from liquid fuel consumption (kt),1986,46981.604
South Africa,CO2 emissions from liquid fuel consumption (kt),1987,41455.435
South Africa,CO2 emissions from liquid fuel consumption (kt),1988,44917.083
South Africa,CO2 emissions from liquid fuel consumption (kt),1989,52918.477
South Africa,CO2 emissions from liquid fuel consumption (kt),1990,40648.695
South Africa,CO2 emissions from liquid fuel consumption (kt),1991,41272.085
South Africa,CO2 emissions from liquid fuel consumption (kt),1992,34781.495
South Africa,CO2 emissions from liquid fuel consumption (kt),1993,23490.802
South Africa,CO2 emissions from liquid fuel consumption (kt),1994,31851.562
South Africa,CO2 emissions from liquid fuel consumption (kt),1995,34011.425
South Africa,CO2 emissions from liquid fuel consumption (kt),1996,32001.909
South Africa,CO2 emissions from liquid fuel consumption (kt),1997,44521.047
South Africa,CO2 emissions from liquid fuel consumption (kt),1998,44623.723
South Africa,CO2 emissions from liquid fuel consumption (kt),1999,30714.792
South Africa,CO2 emissions from liquid fuel consumption (kt),2000,33329.363
South Africa,CO2 emissions from liquid fuel consumption (kt),2001,25907.355
South Africa,CO2 emissions from liquid fuel consumption (kt),2002,22467.709
South Africa,CO2 emissions from liquid fuel consumption (kt),2003,39775.949
South Africa,CO2 emissions from liquid fuel consumption (kt),2004,54282.601
South Africa,CO2 emissions from liquid fuel consumption (kt),2005,27854.532
South Africa,CO2 emissions from liquid fuel consumption (kt),2006,53123.829
South Africa,CO2 emissions from liquid fuel consumption (kt),2007,59376.064
South Africa,CO2 emissions from liquid fuel consumption (kt),2008,63285.086
South Africa,CO2 emissions from liquid fuel consumption (kt),2009,77179.349
South Africa,CO2 emissions from liquid fuel consumption (kt),2010,48268.721
South Africa,CO2 emissions from liquid fuel consumption (kt),2011,62148.316
South Africa,CO2 emissions from liquid fuel consumption (kt),2012,51308.664
South Africa,CO2 emissions from liquid fuel consumption (kt),2013,51117.98
South Africa,CO2 emissions from liquid fuel consumption (kt),2014,56684.486
South Africa,CO2 emissions from liquid fuel consumption (kt),2015,60721.853
South Africa,CO2 emissions from liquid fuel consumption (kt),2016,60424.826
