Country or Area,Item,Year,Value
South Africa,CO2 emissions from liquid fuel consumption (% of total),1985,14.4818693872011
South Africa,CO2 emissions from liquid fuel consumption (% of total),1986,14.200055417013
South Africa,CO2 emissions from liquid fuel consumption (% of total),1987,12.5994694960212
South Africa,CO2 emissions from liquid fuel consumption (% of total),1988,13.0932529502309
South Africa,CO2 emissions from liquid fuel consumption (% of total),1989,15.5137012072543
South Africa,CO2 emissions from liquid fuel consumption (% of total),1990,16.413104659614
South Africa,CO2 emissions from liquid fuel consumption (% of total),1991,17.0313560021458
South Africa,CO2 emissions from liquid fuel consumption (% of total),1992,14.5638954023951
South Africa,CO2 emissions from liquid fuel consumption (% of total),1993,9.53244410177332
South Africa,CO2 emissions from liquid fuel consumption (% of total),1994,12.6390071822547
South Africa,CO2 emissions from liquid fuel consumption (% of total),1995,12.8738502592831
South Africa,CO2 emissions from liquid fuel consumption (% of total),1996,11.6803814147018
South Africa,CO2 emissions from liquid fuel consumption (% of total),1997,15.4094721722276
South Africa,CO2 emissions from liquid fuel consumption (% of total),1998,15.0496519510303
South Africa,CO2 emissions from liquid fuel consumption (% of total),1999,11.0298387618056
South Africa,CO2 emissions from liquid fuel consumption (% of total),2000,11.7056028518245
South Africa,CO2 emissions from liquid fuel consumption (% of total),2001,8.08089675608235
South Africa,CO2 emissions from liquid fuel consumption (% of total),2002,6.77922545410657
South Africa,CO2 emissions from liquid fuel consumption (% of total),2003,11.2644640480304
South Africa,CO2 emissions from liquid fuel consumption (% of total),2004,14.2860228439087
South Africa,CO2 emissions from liquid fuel consumption (% of total),2005,7.37594852240229
South Africa,CO2 emissions from liquid fuel consumption (% of total),2006,13.996161081252
South Africa,CO2 emissions from liquid fuel consumption (% of total),2007,14.9599556563366
South Africa,CO2 emissions from liquid fuel consumption (% of total),2008,14.8361510690173
South Africa,CO2 emissions from liquid fuel consumption (% of total),2009,19.1028535716054
South Africa,CO2 emissions from liquid fuel consumption (% of total),2010,11.3544073298676
South Africa,CO2 emissions from liquid fuel consumption (% of total),2011,15.1907303480641
South Africa,CO2 emissions from liquid fuel consumption (% of total),2012,12.024246912423
South Africa,CO2 emissions from liquid fuel consumption (% of total),2013,11.7009590953831
South Africa,CO2 emissions from liquid fuel consumption (% of total),2014,12.6533519353543
South Africa,CO2 emissions from liquid fuel consumption (% of total),2015,14.2915300790812
South Africa,CO2 emissions from liquid fuel consumption (% of total),2016,14.2115870925255
