Country or Area,Item,Year,Value
South Africa,CO2 emissions (metric tons per capita),1990,6.20937283791364
South Africa,CO2 emissions (metric tons per capita),1991,5.92227622921281
South Africa,CO2 emissions (metric tons per capita),1992,5.7178228698212
South Africa,CO2 emissions (metric tons per capita),1993,5.79525808551305
South Africa,CO2 emissions (metric tons per capita),1994,5.82621348044381
South Africa,CO2 emissions (metric tons per capita),1995,6.00761595417314
South Africa,CO2 emissions (metric tons per capita),1996,6.13600232844307
South Africa,CO2 emissions (metric tons per capita),1997,6.37262877583789
South Africa,CO2 emissions (metric tons per capita),1998,6.45982351193617
South Africa,CO2 emissions (metric tons per capita),1999,6.00178614406945
South Africa,CO2 emissions (metric tons per capita),2000,6.07655317191499
South Africa,CO2 emissions (metric tons per capita),2001,6.78372306044453
South Africa,CO2 emissions (metric tons per capita),2002,6.95051357369806
South Africa,CO2 emissions (metric tons per capita),2003,7.33895617266971
South Africa,CO2 emissions (metric tons per capita),2004,7.82476407533056
South Africa,CO2 emissions (metric tons per capita),2005,7.70429784499698
South Africa,CO2 emissions (metric tons per capita),2006,7.67271219877509
South Africa,CO2 emissions (metric tons per capita),2007,7.94385857423182
South Africa,CO2 emissions (metric tons per capita),2008,8.44664968496897
South Africa,CO2 emissions (metric tons per capita),2009,7.90204894086135
South Africa,CO2 emissions (metric tons per capita),2010,8.21761222731227
South Africa,CO2 emissions (metric tons per capita),2011,7.8080537418251
South Africa,CO2 emissions (metric tons per capita),2012,8.03464925875575
South Africa,CO2 emissions (metric tons per capita),2013,8.11643495398564
South Africa,CO2 emissions (metric tons per capita),2014,8.19115252745267
South Africa,CO2 emissions (metric tons per capita),2015,7.60718852417825
South Africa,CO2 emissions (metric tons per capita),2016,7.54458957113285
South Africa,CO2 emissions (metric tons per capita),2017,7.68370781068603
South Africa,CO2 emissions (metric tons per capita),2018,7.66737702463575
South Africa,CO2 emissions (metric tons per capita),2019,7.68890762322173
South Africa,CO2 emissions (metric tons per capita),2020,6.68756314737781
