Country or Area,Item,Year,Value
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1985,1.3457139012246
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1986,1.31237183868763
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1987,1.2568701802224
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1988,1.34509938313914
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1989,1.30051091500232
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1990,1.23861865310475
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1991,1.3029998324116
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1992,1.2872801427479
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1993,1.9644180874722
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1994,2.04320141855404
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1995,2.16361886429259
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1996,2.06988649009571
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1997,1.81677346665728
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1998,1.51385416309895
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1999,1.46940859038868
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2000,1.30833125378774
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2001,1.20706544064208
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2002,1.19331742243437
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2003,1.12562814070352
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2004,1.03348160775644
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2005,0.961615944559349
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2006,1.10707027489571
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2007,1.13938279174331
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2008,1.1412773800241
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2009,1.19172800560813
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2010,1.46039238825786
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2011,2.42047902673932
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2012,2.60737324928254
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2013,2.50401587451573
South Africa,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2014,2.41671811052427
