Country or Area,Item,Year,Value
South Africa,CO2 emissions from solid fuel consumption (kt),1985,273752.551
South Africa,CO2 emissions from solid fuel consumption (kt),1986,280521.833
South Africa,CO2 emissions from solid fuel consumption (kt),1987,284214.502
South Africa,CO2 emissions from solid fuel consumption (kt),1988,293906.383
South Africa,CO2 emissions from solid fuel consumption (kt),1989,284185.166
South Africa,CO2 emissions from solid fuel consumption (kt),1990,265314.784
South Africa,CO2 emissions from solid fuel consumption (kt),1991,277940.265
South Africa,CO2 emissions from solid fuel consumption (kt),1992,259880.29
South Africa,CO2 emissions from solid fuel consumption (kt),1993,289960.691
South Africa,CO2 emissions from solid fuel consumption (kt),1994,299443.553
South Africa,CO2 emissions from solid fuel consumption (kt),1995,319791.736
South Africa,CO2 emissions from solid fuel consumption (kt),1996,324375.486
South Africa,CO2 emissions from solid fuel consumption (kt),1997,333568.655
South Africa,CO2 emissions from solid fuel consumption (kt),1998,326087.975
South Africa,CO2 emissions from solid fuel consumption (kt),1999,337022.969
South Africa,CO2 emissions from solid fuel consumption (kt),2000,338159.739
South Africa,CO2 emissions from solid fuel consumption (kt),2001,337969.055
South Africa,CO2 emissions from solid fuel consumption (kt),2002,325794.615
South Africa,CO2 emissions from solid fuel consumption (kt),2003,357734.185
South Africa,CO2 emissions from solid fuel consumption (kt),2004,384400.609
South Africa,CO2 emissions from solid fuel consumption (kt),2005,377026.272
South Africa,CO2 emissions from solid fuel consumption (kt),2006,382332.421
South Africa,CO2 emissions from solid fuel consumption (kt),2007,392490.011
South Africa,CO2 emissions from solid fuel consumption (kt),2008,418639.388
South Africa,CO2 emissions from solid fuel consumption (kt),2009,413014.21
South Africa,CO2 emissions from solid fuel consumption (kt),2010,407253.353
South Africa,CO2 emissions from solid fuel consumption (kt),2011,400810.434
South Africa,CO2 emissions from solid fuel consumption (kt),2012,398342.543
South Africa,CO2 emissions from solid fuel consumption (kt),2013,392644.025
South Africa,CO2 emissions from solid fuel consumption (kt),2014,412746.519
South Africa,CO2 emissions from solid fuel consumption (kt),2015,386773.158
South Africa,CO2 emissions from solid fuel consumption (kt),2016,399603.991
