Country or Area,Item,Year,Value
South Africa,CO2 emissions from solid fuel consumption (% of total),1985,84.4357228493225
South Africa,CO2 emissions from solid fuel consumption (% of total),1986,84.7869215849266
South Africa,CO2 emissions from solid fuel consumption (% of total),1987,86.3807592002318
South Africa,CO2 emissions from solid fuel consumption (% of total),1988,85.6732084829827
South Africa,CO2 emissions from solid fuel consumption (% of total),1989,83.3123703249804
South Africa,CO2 emissions from solid fuel consumption (% of total),1990,107.128637648389
South Africa,CO2 emissions from solid fuel consumption (% of total),1991,114.694946973136
South Africa,CO2 emissions from solid fuel consumption (% of total),1992,108.818478351897
South Africa,CO2 emissions from solid fuel consumption (% of total),1993,117.664525828836
South Africa,CO2 emissions from solid fuel consumption (% of total),1994,118.822091583667
South Africa,CO2 emissions from solid fuel consumption (% of total),1995,121.046116809872
South Africa,CO2 emissions from solid fuel consumption (% of total),1996,118.393855755895
South Africa,CO2 emissions from solid fuel consumption (% of total),1997,115.453639415755
South Africa,CO2 emissions from solid fuel consumption (% of total),1998,109.975371825571
South Africa,CO2 emissions from solid fuel consumption (% of total),1999,121.026670377419
South Africa,CO2 emissions from solid fuel consumption (% of total),2000,118.765054261932
South Africa,CO2 emissions from solid fuel consumption (% of total),2001,105.417671553337
South Africa,CO2 emissions from solid fuel consumption (% of total),2002,98.3026416631465
South Africa,CO2 emissions from solid fuel consumption (% of total),2003,101.309559344114
South Africa,CO2 emissions from solid fuel consumption (% of total),2004,101.166041792773
South Africa,CO2 emissions from solid fuel consumption (% of total),2005,99.8374833174452
South Africa,CO2 emissions from solid fuel consumption (% of total),2006,100.730430235009
South Africa,CO2 emissions from solid fuel consumption (% of total),2007,98.8888916603678
South Africa,CO2 emissions from solid fuel consumption (% of total),2008,98.143142348087
South Africa,CO2 emissions from solid fuel consumption (% of total),2009,102.22617939706
South Africa,CO2 emissions from solid fuel consumption (% of total),2010,95.7995231822352
South Africa,CO2 emissions from solid fuel consumption (% of total),2011,97.9689171881111
South Africa,CO2 emissions from solid fuel consumption (% of total),2012,93.3520524477983
South Africa,CO2 emissions from solid fuel consumption (% of total),2013,89.8766280586902
South Africa,CO2 emissions from solid fuel consumption (% of total),2014,92.1350325907406
South Africa,CO2 emissions from solid fuel consumption (% of total),2015,91.0311518546413
South Africa,CO2 emissions from solid fuel consumption (% of total),2016,93.9846632014676
