Country or Area,Item,Year,Value
South Africa,CO2 emissions from transport (% of total fuel combustion),1985,11.8512537567846
South Africa,CO2 emissions from transport (% of total fuel combustion),1986,11.8751424014582
South Africa,CO2 emissions from transport (% of total fuel combustion),1987,11.7080652720378
South Africa,CO2 emissions from transport (% of total fuel combustion),1988,12.2900959561343
South Africa,CO2 emissions from transport (% of total fuel combustion),1989,12.2239581134147
South Africa,CO2 emissions from transport (% of total fuel combustion),1990,12.1154950373226
South Africa,CO2 emissions from transport (% of total fuel combustion),1991,12.3889726830903
South Africa,CO2 emissions from transport (% of total fuel combustion),1992,12.770838643895
South Africa,CO2 emissions from transport (% of total fuel combustion),1993,12.4454328309035
South Africa,CO2 emissions from transport (% of total fuel combustion),1994,12.6259369710647
South Africa,CO2 emissions from transport (% of total fuel combustion),1995,13.5399422521655
South Africa,CO2 emissions from transport (% of total fuel combustion),1996,12.727205282291
South Africa,CO2 emissions from transport (% of total fuel combustion),1997,12.4005351735793
South Africa,CO2 emissions from transport (% of total fuel combustion),1998,11.9498578621091
South Africa,CO2 emissions from transport (% of total fuel combustion),1999,12.8892291985707
South Africa,CO2 emissions from transport (% of total fuel combustion),2000,12.5414423728209
South Africa,CO2 emissions from transport (% of total fuel combustion),2001,11.3754858280406
South Africa,CO2 emissions from transport (% of total fuel combustion),2002,11.2569610182975
South Africa,CO2 emissions from transport (% of total fuel combustion),2003,11.1902368987796
South Africa,CO2 emissions from transport (% of total fuel combustion),2004,10.98740111339
South Africa,CO2 emissions from transport (% of total fuel combustion),2005,11.601171130033
South Africa,CO2 emissions from transport (% of total fuel combustion),2006,11.8568830891004
South Africa,CO2 emissions from transport (% of total fuel combustion),2007,12.4514612712038
South Africa,CO2 emissions from transport (% of total fuel combustion),2008,11.5214668840528
South Africa,CO2 emissions from transport (% of total fuel combustion),2009,11.7069751139152
South Africa,CO2 emissions from transport (% of total fuel combustion),2010,11.8208191965383
South Africa,CO2 emissions from transport (% of total fuel combustion),2011,12.7968571790648
South Africa,CO2 emissions from transport (% of total fuel combustion),2012,12.3819568790012
South Africa,CO2 emissions from transport (% of total fuel combustion),2013,13.0586790135122
South Africa,CO2 emissions from transport (% of total fuel combustion),2014,12.0492946475524
