Country or Area,Item,Year,Value
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),1985,3.75247519171714
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),1986,3.67703389089656
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),1987,3.528859426067
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),1988,3.53625225886876
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),1989,3.67171337618348
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),1990,2.72285309091651
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),1991,2.55135866139467
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),1992,2.69590967445056
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),1993,2.59569542628312
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),1994,2.56711938431429
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),1995,2.55148656808291
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),1996,2.58936733830371
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),1997,2.65869837500359
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),1998,2.7464878098031
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),1999,2.54858559905723
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),2000,2.61121086835981
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),2001,2.85861771638405
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),2002,3.01208479283165
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),2003,3.00124514573395
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),2004,2.9579342852515
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),2005,2.94454372476672
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),2006,2.98107067247083
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),2007,2.91115643455936
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),2008,2.90459250489433
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),2009,2.80637150105777
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),2010,2.99851724658796
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),2011,2.89585825662863
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),2012,3.06317739670696
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),2013,3.12632172466132
South Africa,CO2 intensity (kg per kg of oil equivalent energy use),2014,3.04698214809766
