Country or Area,Item,Year,Value
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),1990,24416.6
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),1991,24862.2
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),1992,24479.6
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),1993,26425.7
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),1994,27329.7
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),1995,28581.6
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),1996,28495.1
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),1997,30171.2
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),1998,30351.7
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),1999,30187.9
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2000,29908.7
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2001,29743.7
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2002,29322.0
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2003,31490.2
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2004,32343.5
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2005,32496.2
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2006,32483.6
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2007,33229.9
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2008,34100.5
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2009,33646.3
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2010,33398.3
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2011,33177.1
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2012,34303.4
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2013,34162.3
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2014,34614.1
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2015,33962.1
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2016,33724.5
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2017,34610.7
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2018,33802.4
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2019,33607.7
South Africa,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),2020,32251.3
