Country or Area,Item,Year,Value
South Africa,Methane emissions (kt of CO2 equivalent),1990,59433.235
South Africa,Methane emissions (kt of CO2 equivalent),1991,60391.1425
South Africa,Methane emissions (kt of CO2 equivalent),1992,60116.25
South Africa,Methane emissions (kt of CO2 equivalent),1993,61811.72
South Africa,Methane emissions (kt of CO2 equivalent),1994,62618.1375
South Africa,Methane emissions (kt of CO2 equivalent),1995,62941.19359
South Africa,Methane emissions (kt of CO2 equivalent),1996,62516.21967
South Africa,Methane emissions (kt of CO2 equivalent),1997,63537.54076
South Africa,Methane emissions (kt of CO2 equivalent),1998,63218.38435
South Africa,Methane emissions (kt of CO2 equivalent),1999,61950.19543
South Africa,Methane emissions (kt of CO2 equivalent),2000,60592.55902
South Africa,Methane emissions (kt of CO2 equivalent),2001,58634.36511
South Africa,Methane emissions (kt of CO2 equivalent),2002,61346.11772
South Africa,Methane emissions (kt of CO2 equivalent),2003,63556.59511
South Africa,Methane emissions (kt of CO2 equivalent),2004,64811.52728
South Africa,Methane emissions (kt of CO2 equivalent),2005,66518.03739
South Africa,Methane emissions (kt of CO2 equivalent),2006,66567.16554
South Africa,Methane emissions (kt of CO2 equivalent),2007,68624.01315
South Africa,Methane emissions (kt of CO2 equivalent),2008,70424.31359
South Africa,Methane emissions (kt of CO2 equivalent),2009,70828.52228
South Africa,Methane emissions (kt of CO2 equivalent),2010,71523.65533
South Africa,Methane emissions (kt of CO2 equivalent),2011,71549.00986
South Africa,Methane emissions (kt of CO2 equivalent),2012,73346.39689
South Africa,Methane emissions (kt of CO2 equivalent),2013,73273.89392
South Africa,Methane emissions (kt of CO2 equivalent),2014,74095.34345
South Africa,Methane emissions (kt of CO2 equivalent),2015,73429.61048
South Africa,Methane emissions (kt of CO2 equivalent),2016,72997.20441
South Africa,Methane emissions (kt of CO2 equivalent),2017,74315.52584
South Africa,Methane emissions (kt of CO2 equivalent),2018,73611.38228
South Africa,Methane emissions (kt of CO2 equivalent),2019,73420.57871
South Africa,Methane emissions (kt of CO2 equivalent),2020,72213.21514
