Country or Area,Item,Year,Value
South Africa,Methane emissions (% change from 1990),1991,0.822001997388044
South Africa,Methane emissions (% change from 1990),1992,0.411656801518467
South Africa,Methane emissions (% change from 1990),1993,1.29942645358696
South Africa,Methane emissions (% change from 1990),1994,2.20649544591782
South Africa,Methane emissions (% change from 1990),1995,3.53121715130496
South Africa,Methane emissions (% change from 1990),1996,5.12275692012509
South Africa,Methane emissions (% change from 1990),1997,8.72854822118168
South Africa,Methane emissions (% change from 1990),1998,10.3313303241352
South Africa,Methane emissions (% change from 1990),1999,11.2112303423103
South Africa,Methane emissions (% change from 1990),2000,11.4212746183696
South Africa,Methane emissions (% change from 1990),2001,13.4619456358196
South Africa,Methane emissions (% change from 1990),2002,13.4484548348595
South Africa,Methane emissions (% change from 1990),2003,17.6302283880179
South Africa,Methane emissions (% change from 1990),2004,19.9094242613318
South Africa,Methane emissions (% change from 1990),2005,22.5215805972303
South Africa,Methane emissions (% change from 1990),2006,22.673914224738
South Africa,Methane emissions (% change from 1990),2007,23.8717849266531
South Africa,Methane emissions (% change from 1990),2008,25.9787857154903
South Africa,Methane emissions (% change from 1990),2009,22.6780364139203
South Africa,Methane emissions (% change from 1990),2010,22.3750555090248
South Africa,Methane emissions (% change from 1990),2011,20.3559776614821
South Africa,Methane emissions (% change from 1990),2012,18.3367873905981
