Country or Area,Item,Year,Value
South Africa,Nitrous oxide emissions in energy sector (% of total),1985,7.93769246546999
South Africa,Nitrous oxide emissions in energy sector (% of total),1986,7.88311368346332
South Africa,Nitrous oxide emissions in energy sector (% of total),1987,7.88933815755755
South Africa,Nitrous oxide emissions in energy sector (% of total),1988,8.34174790680426
South Africa,Nitrous oxide emissions in energy sector (% of total),1989,8.37467449830343
South Africa,Nitrous oxide emissions in energy sector (% of total),1990,8.94092602448111
South Africa,Nitrous oxide emissions in energy sector (% of total),1991,9.17237743806009
South Africa,Nitrous oxide emissions in energy sector (% of total),1992,9.65333333333333
South Africa,Nitrous oxide emissions in energy sector (% of total),1993,9.71428571428571
South Africa,Nitrous oxide emissions in energy sector (% of total),1994,10.0835945663532
South Africa,Nitrous oxide emissions in energy sector (% of total),1995,10.5039787798408
South Africa,Nitrous oxide emissions in energy sector (% of total),1996,10.2238046795524
South Africa,Nitrous oxide emissions in energy sector (% of total),1997,10.3711235383833
South Africa,Nitrous oxide emissions in energy sector (% of total),1998,10.4492680464412
South Africa,Nitrous oxide emissions in energy sector (% of total),1999,10.7818088911599
South Africa,Nitrous oxide emissions in energy sector (% of total),2000,10.9239407861154
South Africa,Nitrous oxide emissions in energy sector (% of total),2001,11.5445440168687
South Africa,Nitrous oxide emissions in energy sector (% of total),2002,11.1888111888112
South Africa,Nitrous oxide emissions in energy sector (% of total),2003,12.1420996818664
South Africa,Nitrous oxide emissions in energy sector (% of total),2004,12.5471190091545
South Africa,Nitrous oxide emissions in energy sector (% of total),2005,12.6730564430245
South Africa,Nitrous oxide emissions in energy sector (% of total),2006,13.1209503239741
South Africa,Nitrous oxide emissions in energy sector (% of total),2007,13.0526315789474
South Africa,Nitrous oxide emissions in energy sector (% of total),2008,13.0614352090862
