Country or Area,Item,Year,Value
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),1990,1903.3
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),1991,1892.1
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),1992,1905.9
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),1993,2011.6
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),1994,2070.1
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),1995,2195.3
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),1996,2213.9
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),1997,2296.7
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),1998,2346.3
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),1999,2273.4
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2000,2251.2
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2001,2386.9
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2002,2425.2
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2003,2540.6
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2004,2677.9
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2005,2622.7
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2006,2628.2
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2007,2765.0
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2008,2914.9
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2009,2782.4
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2010,2861.1
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2011,2802.1
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2012,2879.9
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2013,3001.2
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2014,2994.0
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2015,2920.8
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2016,2891.7
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2017,3012.0
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2018,3017.2
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2019,3007.2
South Africa,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2020,2664.2
