Country or Area,Item,Year,Value
South Africa,Nitrous oxide emissions (% change from 1990),1991,0.469236177242327
South Africa,Nitrous oxide emissions (% change from 1990),1992,10.4967211715733
South Africa,Nitrous oxide emissions (% change from 1990),1993,8.37188321654356
South Africa,Nitrous oxide emissions (% change from 1990),1994,9.24668899963561
South Africa,Nitrous oxide emissions (% change from 1990),1995,9.83336968197872
South Africa,Nitrous oxide emissions (% change from 1990),1996,17.3285506643674
South Africa,Nitrous oxide emissions (% change from 1990),1997,21.1741470372693
South Africa,Nitrous oxide emissions (% change from 1990),1998,21.930424628939
South Africa,Nitrous oxide emissions (% change from 1990),1999,13.0631613026452
South Africa,Nitrous oxide emissions (% change from 1990),2000,5.03128466949601
South Africa,Nitrous oxide emissions (% change from 1990),2001,1.20424642485109
South Africa,Nitrous oxide emissions (% change from 1990),2002,4.91776852731094
South Africa,Nitrous oxide emissions (% change from 1990),2003,4.96125144096415
South Africa,Nitrous oxide emissions (% change from 1990),2004,6.6429971512596
South Africa,Nitrous oxide emissions (% change from 1990),2005,8.62682042369427
South Africa,Nitrous oxide emissions (% change from 1990),2006,3.10327124262246
South Africa,Nitrous oxide emissions (% change from 1990),2007,3.3978984613009
South Africa,Nitrous oxide emissions (% change from 1990),2008,-1.61428623677733
South Africa,Nitrous oxide emissions (% change from 1990),2009,-2.47771331349284
South Africa,Nitrous oxide emissions (% change from 1990),2010,-4.43349620235673
South Africa,Nitrous oxide emissions (% change from 1990),2011,-6.01034351501785
South Africa,Nitrous oxide emissions (% change from 1990),2012,-7.58719082767896
