Country or Area,Item,Year,Value
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1990,19000.0666
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1991,19107.4408
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1992,18837.366
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1993,19381.5432
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1994,19266.6668
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1995,19053.21692
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1996,19832.08054
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1997,19898.31775
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1998,20043.22417
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1999,19700.58058
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2000,19667.2414
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2001,19130.20393
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2002,20165.6904
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2003,19073.23594
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2004,18875.63261
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2005,18976.77262
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2006,18671.55093
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2007,19248.99959
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2008,19713.07303
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2009,19567.49776
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2010,19655.70324
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2011,19581.75813
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2012,19953.66882
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2013,19419.91971
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2014,19432.0744
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2015,18558.40129
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2016,17799.76218
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2017,19516.32367
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2018,18612.26076
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2019,18209.84905
South Africa,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2020,17992.98714
