Country or Area,Item,Year,Value
South Africa,Other greenhouse gas emissions (% change from 1990),1991,-21.7481249278365
South Africa,Other greenhouse gas emissions (% change from 1990),1992,21.5600817367965
South Africa,Other greenhouse gas emissions (% change from 1990),1993,-33.0539634881073
South Africa,Other greenhouse gas emissions (% change from 1990),1994,-22.6817542053347
South Africa,Other greenhouse gas emissions (% change from 1990),1995,-20.192661614469
South Africa,Other greenhouse gas emissions (% change from 1990),1996,-23.1526629163064
South Africa,Other greenhouse gas emissions (% change from 1990),1997,-21.5557422785406
South Africa,Other greenhouse gas emissions (% change from 1990),1998,1166.91000351032
South Africa,Other greenhouse gas emissions (% change from 1990),1999,1031.29160100438
South Africa,Other greenhouse gas emissions (% change from 1990),2000,643.55325690549
South Africa,Other greenhouse gas emissions (% change from 1990),2001,893.413063990741
South Africa,Other greenhouse gas emissions (% change from 1990),2002,960.938134048454
South Africa,Other greenhouse gas emissions (% change from 1990),2003,747.615015662091
South Africa,Other greenhouse gas emissions (% change from 1990),2004,590.26832575177
South Africa,Other greenhouse gas emissions (% change from 1990),2005,1178.34240960302
South Africa,Other greenhouse gas emissions (% change from 1990),2006,677.718741629434
South Africa,Other greenhouse gas emissions (% change from 1990),2007,969.361332482323
South Africa,Other greenhouse gas emissions (% change from 1990),2008,872.193629726947
South Africa,Other greenhouse gas emissions (% change from 1990),2009,782.842117851942
South Africa,Other greenhouse gas emissions (% change from 1990),2010,894.583167913018
South Africa,Other greenhouse gas emissions (% change from 1990),2011,894.583167913018
South Africa,Other greenhouse gas emissions (% change from 1990),2012,894.583167913018
