Country or Area,Item,Year,Value
South Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",1990,28.75984422
South Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",1995,29.18147425
South Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2000,28.69361318
South Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2005,27.03090776
South Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2010,29.39830185
South Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2011,29.45389805
South Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2012,29.16575633
South Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2013,28.7701453
South Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2014,28.99888476
South Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2015,29.23503061
South Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2016,28.72137557
South Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2017,28.8576422
South Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2018,28.75401758
South Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",2019,28.67475434
