Country or Area,Item,Year,Value
South Africa,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",1990,100.0
South Africa,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",1995,100.0
South Africa,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",2000,100.0
South Africa,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",2005,100.0
South Africa,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",2010,100.0
South Africa,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",2011,100.0
South Africa,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",2012,100.0
South Africa,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",2013,100.0
South Africa,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",2014,100.0
South Africa,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",2015,100.0
South Africa,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",2016,100.0
South Africa,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",2017,100.0
