Country or Area,Item,Year,Value
South Africa,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",1990,12.3408877483776
South Africa,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",1995,13.8994524563906
South Africa,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",2000,16.9741257460006
South Africa,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",2005,15.5548206068401
South Africa,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",2010,20.049019220481
South Africa,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",2011,18.1639891020705
South Africa,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",2012,18.85184427287
South Africa,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",2013,16.8829799116276
South Africa,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",2014,16.4392204221895
South Africa,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",2015,12.8280950114367
South Africa,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",2016,6.15841859356653
South Africa,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",2017,6.23623457005759
