Country or Area,Item,Year,Value
South Africa,Permanent cropland (% of land area),1985,0.247302343601876
South Africa,Permanent cropland (% of land area),1986,0.247302343601876
South Africa,Permanent cropland (% of land area),1987,0.247302343601876
South Africa,Permanent cropland (% of land area),1988,0.247302343601876
South Africa,Permanent cropland (% of land area),1989,0.247302343601876
South Africa,Permanent cropland (% of land area),1990,0.247302343601876
South Africa,Permanent cropland (% of land area),1991,0.251424049328574
South Africa,Permanent cropland (% of land area),1992,0.255545755055272
South Africa,Permanent cropland (% of land area),1993,0.255545755055272
South Africa,Permanent cropland (% of land area),1994,0.25966746078197
South Africa,Permanent cropland (% of land area),1995,0.263789166508668
South Africa,Permanent cropland (% of land area),1996,0.28027598941546
South Africa,Permanent cropland (% of land area),1997,0.284397695142158
South Africa,Permanent cropland (% of land area),1998,0.296762812322251
South Africa,Permanent cropland (% of land area),1999,0.305006223775647
South Africa,Permanent cropland (% of land area),2000,0.317371340955741
South Africa,Permanent cropland (% of land area),2001,0.329736458135835
South Africa,Permanent cropland (% of land area),2002,0.329736458135835
South Africa,Permanent cropland (% of land area),2003,0.329736458135835
South Africa,Permanent cropland (% of land area),2004,0.313249635229043
South Africa,Permanent cropland (% of land area),2005,0.313249635229043
South Africa,Permanent cropland (% of land area),2006,0.296762812322251
South Africa,Permanent cropland (% of land area),2007,0.298411494612931
South Africa,Permanent cropland (% of land area),2008,0.313249635229043
South Africa,Permanent cropland (% of land area),2009,0.329736458135835
South Africa,Permanent cropland (% of land area),2010,0.354466692496023
South Africa,Permanent cropland (% of land area),2011,0.34045289302525
South Africa,Permanent cropland (% of land area),2012,0.34045289302525
South Africa,Permanent cropland (% of land area),2013,0.34045289302525
South Africa,Permanent cropland (% of land area),2014,0.34045289302525
South Africa,Permanent cropland (% of land area),2015,0.34045289302525
South Africa,Permanent cropland (% of land area),2016,0.34045289302525
South Africa,Permanent cropland (% of land area),2017,0.34045289302525
South Africa,Permanent cropland (% of land area),2018,0.34045289302525
South Africa,Permanent cropland (% of land area),2019,0.34045289302525
South Africa,Permanent cropland (% of land area),2020,0.34045289302525
South Africa,Permanent cropland (% of land area),2021,0.34045289302525
