Country or Area,Item,Year,Value
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",1985,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",1986,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",1987,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",1988,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",1989,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",1990,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",1991,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",1992,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",1993,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",1994,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",1995,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",1996,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",1997,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",1998,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",1999,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2000,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2001,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2002,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2003,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2004,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2005,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2006,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2007,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2008,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2009,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2010,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2011,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2012,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2013,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2014,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2015,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2016,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2017,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2018,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2019,44.8
South Africa,"Renewable internal freshwater resources, total (billion cubic meters)",2020,44.8
