Country or Area,Item,Year,Value
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),1990,327848.562
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),1991,323957.5294
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),1992,320279.5478
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),1993,330556.8806
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),1994,337263.4074
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),1995,349908.3993
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),1996,360132.9231
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),1997,375840.0154
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),1998,383356.2995
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),1999,363897.901
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2000,368777.7595
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2001,402757.7951
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2002,417929.0011
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2003,441353.791
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2004,469862.6868
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2005,469918.5038
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2006,472757.5168
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2007,493819.5196
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2008,527035.5
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2009,505538.2399
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2010,528517.785
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2011,512737.4833
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2012,532764.5699
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2013,542754.7068
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2014,554961.0999
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2015,530523.0827
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2016,530872.059
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2017,544358.7633
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2018,548100.8783
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2019,555409.2845
South Africa,Total greenhouse gas emissions (kt of CO2 equivalent),2020,501520.8805
