Country or Area,Item,Year,Value
South Africa,Total greenhouse gas emissions (% change from 1990),1991,-1.66404658814069
South Africa,Total greenhouse gas emissions (% change from 1990),1992,1.33004592568173
South Africa,Total greenhouse gas emissions (% change from 1990),1993,-0.389824511945369
South Africa,Total greenhouse gas emissions (% change from 1990),1994,1.85324767983432
South Africa,Total greenhouse gas emissions (% change from 1990),1995,6.3425189068647
South Africa,Total greenhouse gas emissions (% change from 1990),1996,9.87144082868117
South Africa,Total greenhouse gas emissions (% change from 1990),1997,15.4147317861024
South Africa,Total greenhouse gas emissions (% change from 1990),1998,31.1263662228374
South Africa,Total greenhouse gas emissions (% change from 1990),1999,23.3824071833357
South Africa,Total greenhouse gas emissions (% change from 1990),2000,20.4124691702083
South Africa,Total greenhouse gas emissions (% change from 1990),2001,19.1377021372289
South Africa,Total greenhouse gas emissions (% change from 1990),2002,24.3037189116688
South Africa,Total greenhouse gas emissions (% change from 1990),2003,30.679126518868
South Africa,Total greenhouse gas emissions (% change from 1990),2004,35.3697253430981
South Africa,Total greenhouse gas emissions (% change from 1990),2005,42.7004665339805
South Africa,Total greenhouse gas emissions (% change from 1990),2006,37.4719294994191
South Africa,Total greenhouse gas emissions (% change from 1990),2007,43.7936358108279
