Country or Area,Item,Year,Value
South Africa,Total natural resources rents (% of GDP),1985,10.8450678188133
South Africa,Total natural resources rents (% of GDP),1986,8.66048788524986
South Africa,Total natural resources rents (% of GDP),1987,7.10334308912649
South Africa,Total natural resources rents (% of GDP),1988,6.90012319771553
South Africa,Total natural resources rents (% of GDP),1989,6.49961862512435
South Africa,Total natural resources rents (% of GDP),1990,5.69756198732845
South Africa,Total natural resources rents (% of GDP),1991,5.44865900528835
South Africa,Total natural resources rents (% of GDP),1992,4.45678523091591
South Africa,Total natural resources rents (% of GDP),1993,4.45349964332174
South Africa,Total natural resources rents (% of GDP),1994,4.76625199005595
South Africa,Total natural resources rents (% of GDP),1995,4.03562638417749
South Africa,Total natural resources rents (% of GDP),1996,4.64270090290704
South Africa,Total natural resources rents (% of GDP),1997,3.69265986755738
South Africa,Total natural resources rents (% of GDP),1998,3.11344933385369
South Africa,Total natural resources rents (% of GDP),1999,2.48859050822074
South Africa,Total natural resources rents (% of GDP),2000,3.71688450048923
South Africa,Total natural resources rents (% of GDP),2001,4.94658656928292
South Africa,Total natural resources rents (% of GDP),2002,4.67923392268105
South Africa,Total natural resources rents (% of GDP),2003,2.99086668200306
South Africa,Total natural resources rents (% of GDP),2004,4.77963979439938
South Africa,Total natural resources rents (% of GDP),2005,4.56849246597233
South Africa,Total natural resources rents (% of GDP),2006,5.2274047401405
South Africa,Total natural resources rents (% of GDP),2007,6.3657074741337
South Africa,Total natural resources rents (% of GDP),2008,11.9900580422374
South Africa,Total natural resources rents (% of GDP),2009,4.93797499670312
South Africa,Total natural resources rents (% of GDP),2010,6.84683101275869
South Africa,Total natural resources rents (% of GDP),2011,7.81466074244917
South Africa,Total natural resources rents (% of GDP),2012,6.40436399402211
South Africa,Total natural resources rents (% of GDP),2013,6.11153096342063
South Africa,Total natural resources rents (% of GDP),2014,4.66573419871465
South Africa,Total natural resources rents (% of GDP),2015,2.80794769347075
South Africa,Total natural resources rents (% of GDP),2016,3.56159906611897
South Africa,Total natural resources rents (% of GDP),2017,3.8355856656622
South Africa,Total natural resources rents (% of GDP),2018,3.86949148830953
South Africa,Total natural resources rents (% of GDP),2019,4.18782227881945
South Africa,Total natural resources rents (% of GDP),2020,4.01777511009808
South Africa,Total natural resources rents (% of GDP),2021,7.32857859192335
