Id,PageTitle,TypeName,SectionId,SectionName,TsCode,MeasureName,TheValue,ValueDate,FormatNumber,FormatDate,SectionSequence,UnitOfMeasure,PublishingAgency,PercChange,PercChangeFormat
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5007K,  Current account (nsa),-27600.946,2023-09-30T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5007K,  Current account (nsa),-11124.9268,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5000K,   Goods: exports (nsa),496235.0562,2023-09-30T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5000K,   Goods: exports (nsa),489245.8801,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5003K,   Goods: imports (nsa),479617.3411,2023-09-30T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5003K,   Goods: imports (nsa),488336.8486,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5002K,   Services: credit (nsa),64524.0,2023-09-30T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5002K,   Services: credit (nsa),73329.0,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5004K,   Services: debit (nsa),88456.0,2023-09-30T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5004K,   Services: debit (nsa),92305.0,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5680K,   Income: credit (nsa),62853.0,2023-09-30T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5680K,   Income: credit (nsa),47501.0,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5681K,   Income: debit (nsa),103188.0,2023-09-30T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5681K,   Income: debit (nsa),60349.0,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,BOP5692K,   Current transfers: credit (nsa),20857.0,2023-09-30T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,BOP5692K,   Current transfers: credit (nsa),18876.0,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,BOP5693K,   Current transfers: debit (nsa),32565.0,2023-09-30T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,BOP5693K,   Current transfers: debit (nsa),29582.0,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5682K,  Capital account (nsa),61.0,2023-09-30T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,KBP5682K,  Capital account (nsa),58.0,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,BOP5694K,   Capital account: credit (nsa),81.0,2023-09-30T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,BOP5694K,   Capital account: credit (nsa),77.0,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,BOP5695K,   Capital account: debit (nsa),20.0,2023-09-30T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
IMFES,Economic and Financial Data for South Africa,SDDS External Sector,IMFESBP,Balance of Payments,BOP5695K,   Capital account: debit (nsa),19.0,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,,0.00
