Country or Area,Item,Year,Value
South Africa,"Central government debt, total (% of GDP)",1990,32.3971949577925
South Africa,"Central government debt, total (% of GDP)",1991,33.9135908287352
South Africa,"Central government debt, total (% of GDP)",1992,36.9022310979407
South Africa,"Central government debt, total (% of GDP)",1993,39.9507720898509
South Africa,"Central government debt, total (% of GDP)",1994,44.8169697430772
South Africa,"Central government debt, total (% of GDP)",1995,44.8686189886337
South Africa,"Central government debt, total (% of GDP)",1996,44.2298759185659
South Africa,"Central government debt, total (% of GDP)",1997,43.1755459966557
South Africa,"Central government debt, total (% of GDP)",1998,44.6542617733798
South Africa,"Central government debt, total (% of GDP)",1999,42.1780316027359
South Africa,"Central government debt, total (% of GDP)",2000,39.6390583837328
South Africa,"Central government debt, total (% of GDP)",2015,52.6511572360833
South Africa,"Central government debt, total (% of GDP)",2016,53.7387913884354
South Africa,"Central government debt, total (% of GDP)",2017,56.2597208389163
South Africa,"Central government debt, total (% of GDP)",2018,59.1023114070096
South Africa,"Central government debt, total (% of GDP)",2019,64.5892781356411
South Africa,"Central government debt, total (% of GDP)",2020,77.3775814600164
South Africa,"Central government debt, total (% of GDP)",2021,75.4188859316029
