Country or Area,Item,Year,Value
South Africa,General government final consumption expenditure (annual % growth),1985,3.4381546103383
South Africa,General government final consumption expenditure (annual % growth),1986,2.29166666666667
South Africa,General government final consumption expenditure (annual % growth),1987,3.7409103087235
South Africa,General government final consumption expenditure (annual % growth),1988,1.65742194552814
South Africa,General government final consumption expenditure (annual % growth),1989,4.01642090022685
South Africa,General government final consumption expenditure (annual % growth),1990,2.26233292410907
South Africa,General government final consumption expenditure (annual % growth),1991,2.26047331500155
South Africa,General government final consumption expenditure (annual % growth),1992,1.86513333305776
South Africa,General government final consumption expenditure (annual % growth),1993,1.17218346352846
South Africa,General government final consumption expenditure (annual % growth),1994,0.808851534513707
South Africa,General government final consumption expenditure (annual % growth),1995,-6.00890439360995
South Africa,General government final consumption expenditure (annual % growth),1996,3.80518238387704
South Africa,General government final consumption expenditure (annual % growth),1997,2.13628422183798
South Africa,General government final consumption expenditure (annual % growth),1998,-2.22047350528965
South Africa,General government final consumption expenditure (annual % growth),1999,0.434468199476285
South Africa,General government final consumption expenditure (annual % growth),2000,2.92853864920338
South Africa,General government final consumption expenditure (annual % growth),2001,3.12248783488238
South Africa,General government final consumption expenditure (annual % growth),2002,4.57145201596829
South Africa,General government final consumption expenditure (annual % growth),2003,5.65355681565256
South Africa,General government final consumption expenditure (annual % growth),2004,5.23739733161541
South Africa,General government final consumption expenditure (annual % growth),2005,1.07902920863879
South Africa,General government final consumption expenditure (annual % growth),2006,3.76747538104118
South Africa,General government final consumption expenditure (annual % growth),2007,6.20413554847967
South Africa,General government final consumption expenditure (annual % growth),2008,7.67120813327868
South Africa,General government final consumption expenditure (annual % growth),2009,1.76573923423436
South Africa,General government final consumption expenditure (annual % growth),2010,-0.278889797629816
South Africa,General government final consumption expenditure (annual % growth),2011,4.08351651891815
South Africa,General government final consumption expenditure (annual % growth),2012,4.79031172271004
South Africa,General government final consumption expenditure (annual % growth),2013,3.16168793287343
South Africa,General government final consumption expenditure (annual % growth),2014,1.92610747874605
South Africa,General government final consumption expenditure (annual % growth),2015,-0.961110879029832
South Africa,General government final consumption expenditure (annual % growth),2016,2.01740201945893
South Africa,General government final consumption expenditure (annual % growth),2017,-0.27807170400817
South Africa,General government final consumption expenditure (annual % growth),2018,1.0862861969706
South Africa,General government final consumption expenditure (annual % growth),2019,1.84074354847581
South Africa,General government final consumption expenditure (annual % growth),2020,0.928544751527014
South Africa,General government final consumption expenditure (annual % growth),2021,0.495366354259247
South Africa,General government final consumption expenditure (annual % growth),2022,0.951515479222209
