Country or Area,Item,Year,Value
South Africa,General government final consumption expenditure (constant 2015 US$),1985,32337048162.0617
South Africa,General government final consumption expenditure (constant 2015 US$),1986,33078105515.7756
South Africa,General government final consumption expenditure (constant 2015 US$),1987,34315527774.9457
South Africa,General government final consumption expenditure (constant 2015 US$),1988,34884280863.0115
South Africa,General government final consumption expenditure (constant 2015 US$),1989,36285380410.4873
South Africa,General government final consumption expenditure (constant 2015 US$),1990,37106276518.152
South Africa,General government final consumption expenditure (constant 2015 US$),1991,37945053997.0355
South Africa,General government final consumption expenditure (constant 2015 US$),1992,38652779847.3809
South Africa,General government final consumption expenditure (constant 2015 US$),1993,39105861340.946
South Africa,General government final consumption expenditure (constant 2015 US$),1994,39422169700.487
South Africa,General government final consumption expenditure (constant 2015 US$),1995,37053329213.2981
South Africa,General government final consumption expenditure (constant 2015 US$),1996,38463275969.1625
South Africa,General government final consumption expenditure (constant 2015 US$),1997,39284960864.8937
South Africa,General government final consumption expenditure (constant 2015 US$),1998,38412648717.3253
South Africa,General government final consumption expenditure (constant 2015 US$),1999,38579539460.5786
South Africa,General government final consumption expenditure (constant 2015 US$),2000,39709356184.3664
South Africa,General government final consumption expenditure (constant 2015 US$),2001,40949276000.5333
South Africa,General government final consumption expenditure (constant 2015 US$),2002,42821252503.7841
South Africa,General government final consumption expenditure (constant 2015 US$),2003,45242176343.2596
South Africa,General government final consumption expenditure (constant 2015 US$),2004,47611688879.8262
South Africa,General government final consumption expenditure (constant 2015 US$),2005,48125432909.5658
South Africa,General government final consumption expenditure (constant 2015 US$),2006,49938546746.4531
South Africa,General government final consumption expenditure (constant 2015 US$),2007,53036801877.544
South Africa,General government final consumption expenditure (constant 2015 US$),2008,57105365336.805
South Africa,General government final consumption expenditure (constant 2015 US$),2009,58113697177.4099
South Africa,General government final consumption expenditure (constant 2015 US$),2010,57951624004.9566
South Africa,General government final consumption expenditure (constant 2015 US$),2011,60318088144.1803
South Africa,General government final consumption expenditure (constant 2015 US$),2012,63207512591.4656
South Africa,General government final consumption expenditure (constant 2015 US$),2013,65205936889.7394
South Africa,General government final consumption expenditure (constant 2015 US$),2014,66461873316.7591
South Africa,General government final consumption expenditure (constant 2015 US$),2015,65823101021.9047
South Africa,General government final consumption expenditure (constant 2015 US$),2016,67151017591.1911
South Africa,General government final consumption expenditure (constant 2015 US$),2017,66964289612.3164
South Africa,General government final consumption expenditure (constant 2015 US$),2018,67691713447.2744
South Africa,General government final consumption expenditure (constant 2015 US$),2019,68937744295.4079
South Africa,General government final consumption expenditure (constant 2015 US$),2020,69577862101.884
South Africa,General government final consumption expenditure (constant 2015 US$),2021,69922527420.7496
South Africa,General government final consumption expenditure (constant 2015 US$),2022,70587851092.6214
