Country or Area,Item,Year,Value
South Africa,General government final consumption expenditure (constant LCU),1985,412320000000.0
South Africa,General government final consumption expenditure (constant LCU),1986,421769000000.0
South Africa,General government final consumption expenditure (constant LCU),1987,437547000000.0
South Africa,General government final consumption expenditure (constant LCU),1988,444799000000.0
South Africa,General government final consumption expenditure (constant LCU),1989,462664000000.0
South Africa,General government final consumption expenditure (constant LCU),1990,473131000000.0
South Africa,General government final consumption expenditure (constant LCU),1991,483826000000.0
South Africa,General government final consumption expenditure (constant LCU),1992,492850000000.0
South Africa,General government final consumption expenditure (constant LCU),1993,498627106200.0
South Africa,General government final consumption expenditure (constant LCU),1994,502660259200.0
South Africa,General government final consumption expenditure (constant LCU),1995,472455884800.0
South Africa,General government final consumption expenditure (constant LCU),1996,490433692900.0
South Africa,General government final consumption expenditure (constant LCU),1997,500910750500.0
South Africa,General government final consumption expenditure (constant LCU),1998,489788160000.0
South Africa,General government final consumption expenditure (constant LCU),1999,491916133800.0
South Africa,General government final consumption expenditure (constant LCU),2000,506322087900.0
South Africa,General government final consumption expenditure (constant LCU),2001,522131933500.0
South Africa,General government final consumption expenditure (constant LCU),2002,546000944300.0
South Africa,General government final consumption expenditure (constant LCU),2003,576869417900.0
South Africa,General government final consumption expenditure (constant LCU),2004,607082361400.0
South Africa,General government final consumption expenditure (constant LCU),2005,613632957400.0
South Africa,General government final consumption expenditure (constant LCU),2006,636751428000.0
South Africa,General government final consumption expenditure (constant LCU),2007,676256349700.0
South Africa,General government final consumption expenditure (constant LCU),2008,728133381800.0
South Africa,General government final consumption expenditure (constant LCU),2009,740990318600.0
South Africa,General government final consumption expenditure (constant LCU),2010,738923772200.0
South Africa,General government final consumption expenditure (constant LCU),2011,769097846500.0
South Africa,General government final consumption expenditure (constant LCU),2012,805940030800.0
South Africa,General government final consumption expenditure (constant LCU),2013,831421339500.0
South Africa,General government final consumption expenditure (constant LCU),2014,847435408100.0
South Africa,General government final consumption expenditure (constant LCU),2015,839290614200.0
South Africa,General government final consumption expenditure (constant LCU),2016,856222480000.0
South Africa,General government final consumption expenditure (constant LCU),2017,853841567559.763
South Africa,General government final consumption expenditure (constant LCU),2018,863116730652.162
South Africa,General government final consumption expenditure (constant LCU),2019,879004496187.457
South Africa,General government final consumption expenditure (constant LCU),2020,887166446302.492
South Africa,General government final consumption expenditure (constant LCU),2021,891561170383.752
South Africa,General government final consumption expenditure (constant LCU),2022,900044512926.688
