Country or Area,Item,Year,Value
South Africa,General government final consumption expenditure (current LCU),1985,23454000000.0
South Africa,General government final consumption expenditure (current LCU),1986,28127000000.0
South Africa,General government final consumption expenditure (current LCU),1987,34211000000.0
South Africa,General government final consumption expenditure (current LCU),1988,39824000000.0
South Africa,General government final consumption expenditure (current LCU),1989,47671000000.0
South Africa,General government final consumption expenditure (current LCU),1990,57362000000.0
South Africa,General government final consumption expenditure (current LCU),1991,65969000000.0
South Africa,General government final consumption expenditure (current LCU),1992,75025000000.0
South Africa,General government final consumption expenditure (current LCU),1993,87158894200.0
South Africa,General government final consumption expenditure (current LCU),1994,99146184100.0
South Africa,General government final consumption expenditure (current LCU),1995,102946386300.0
South Africa,General government final consumption expenditure (current LCU),1996,122287401200.0
South Africa,General government final consumption expenditure (current LCU),1997,136199531000.0
South Africa,General government final consumption expenditure (current LCU),1998,144620630400.0
South Africa,General government final consumption expenditure (current LCU),1999,155613477600.0
South Africa,General government final consumption expenditure (current LCU),2000,174475646600.0
South Africa,General government final consumption expenditure (current LCU),2001,193800907300.0
South Africa,General government final consumption expenditure (current LCU),2002,228327262200.0
South Africa,General government final consumption expenditure (current LCU),2003,251375482600.0
South Africa,General government final consumption expenditure (current LCU),2004,280987147700.0
South Africa,General government final consumption expenditure (current LCU),2005,296655489300.0
South Africa,General government final consumption expenditure (current LCU),2006,326349628300.0
South Africa,General government final consumption expenditure (current LCU),2007,372800480400.0
South Africa,General government final consumption expenditure (current LCU),2008,445869466400.0
South Africa,General government final consumption expenditure (current LCU),2009,497194752300.0
South Africa,General government final consumption expenditure (current LCU),2010,549890095200.0
South Africa,General government final consumption expenditure (current LCU),2011,605360968100.0
South Africa,General government final consumption expenditure (current LCU),2012,671213109700.0
South Africa,General government final consumption expenditure (current LCU),2013,738187820200.0
South Africa,General government final consumption expenditure (current LCU),2014,798418823300.0
South Africa,General government final consumption expenditure (current LCU),2015,839290614200.0
South Africa,General government final consumption expenditure (current LCU),2016,918953928200.0
South Africa,General government final consumption expenditure (current LCU),2017,976844530613.91
South Africa,General government final consumption expenditure (current LCU),2018,1037896740590.34
South Africa,General government final consumption expenditure (current LCU),2019,1101419944792.35
South Africa,General government final consumption expenditure (current LCU),2020,1145604643367.97
South Africa,General government final consumption expenditure (current LCU),2021,1201482231976.89
South Africa,General government final consumption expenditure (current LCU),2022,1269160273835.3
