Country or Area,Item,Year,Value
South Africa,General government final consumption expenditure (current US$),1985,10523741685.0819
South Africa,General government final consumption expenditure (current US$),1986,12309236807.1869
South Africa,General government final consumption expenditure (current US$),1987,16802772843.0728
South Africa,General government final consumption expenditure (current US$),1988,17516850907.9521
South Africa,General government final consumption expenditure (current US$),1989,18176466259.4746
South Africa,General government final consumption expenditure (current US$),1990,22170422610.8782
South Africa,General government final consumption expenditure (current US$),1991,23890429016.6098
South Africa,General government final consumption expenditure (current US$),1992,26305971850.0681
South Africa,General government final consumption expenditure (current US$),1993,26672513986.7223
South Africa,General government final consumption expenditure (current US$),1994,27922225961.6007
South Africa,General government final consumption expenditure (current US$),1995,28382678183.7205
South Africa,General government final consumption expenditure (current US$),1996,28443236685.3679
South Africa,General government final consumption expenditure (current US$),1997,29557433633.3503
South Africa,General government final consumption expenditure (current US$),1998,26160130412.9817
South Africa,General government final consumption expenditure (current US$),1999,25470805324.9669
South Africa,General government final consumption expenditure (current US$),2000,25141206179.7497
South Africa,General government final consumption expenditure (current US$),2001,22510957465.0597
South Africa,General government final consumption expenditure (current US$),2002,21661392897.4863
South Africa,General government final consumption expenditure (current US$),2003,33229851063.1351
South Africa,General government final consumption expenditure (current US$),2004,43498529682.4478
South Africa,General government final consumption expenditure (current US$),2005,46648873796.0992
South Africa,General government final consumption expenditure (current US$),2006,48194235661.5894
South Africa,General government final consumption expenditure (current US$),2007,52914289096.4485
South Africa,General government final consumption expenditure (current US$),2008,53971363126.2587
South Africa,General government final consumption expenditure (current US$),2009,58675227805.554
South Africa,General government final consumption expenditure (current US$),2010,75109059006.8161
South Africa,General government final consumption expenditure (current US$),2011,83370054159.5994
South Africa,General government final consumption expenditure (current US$),2012,81756551200.38
South Africa,General government final consumption expenditure (current US$),2013,76494561791.4655
South Africa,General government final consumption expenditure (current US$),2014,73624988316.5505
South Africa,General government final consumption expenditure (current US$),2015,65823101021.9047
South Africa,General government final consumption expenditure (current US$),2016,62476471785.5977
South Africa,General government final consumption expenditure (current US$),2017,73375788191.4466
South Africa,General government final consumption expenditure (current US$),2018,78426971753.5325
South Africa,General government final consumption expenditure (current US$),2019,76231131928.2265
South Africa,General government final consumption expenditure (current US$),2020,69603094662.0712
South Africa,General government final consumption expenditure (current US$),2021,81298356454.9474
South Africa,General government final consumption expenditure (current US$),2022,77596703384.1219
