Country or Area,Item,Year,Value
South Africa,General government final consumption expenditure (% of GDP),1985,16.3261612568652
South Africa,General government final consumption expenditure (% of GDP),1986,16.7804173776086
South Africa,General government final consumption expenditure (% of GDP),1987,17.4057491732384
South Africa,General government final consumption expenditure (% of GDP),1988,16.846878860179
South Africa,General government final consumption expenditure (% of GDP),1989,16.8213976957956
South Africa,General government final consumption expenditure (% of GDP),1990,17.5888534221331
South Africa,General government final consumption expenditure (% of GDP),1991,17.66995232228
South Africa,General government final consumption expenditure (% of GDP),1992,17.9005585499176
South Africa,General government final consumption expenditure (% of GDP),1993,18.1205609764085
South Africa,General government final consumption expenditure (% of GDP),1994,18.1888688750082
South Africa,General government final consumption expenditure (% of GDP),1995,16.5269303515062
South Africa,General government final consumption expenditure (% of GDP),1996,17.4247248982139
South Africa,General government final consumption expenditure (% of GDP),1997,17.4918768157123
South Africa,General government final consumption expenditure (% of GDP),1998,17.1000261817972
South Africa,General government final consumption expenditure (% of GDP),1999,16.8105311881129
South Africa,General government final consumption expenditure (% of GDP),2000,16.5672154108403
South Africa,General government final consumption expenditure (% of GDP),2001,16.6218512164789
South Africa,General government final consumption expenditure (% of GDP),2002,16.7803880295906
South Africa,General government final consumption expenditure (% of GDP),2003,16.8663209712168
South Africa,General government final consumption expenditure (% of GDP),2004,17.0044389815087
South Africa,General government final consumption expenditure (% of GDP),2005,16.1488985315911
South Africa,General government final consumption expenditure (% of GDP),2006,15.8607403931821
South Africa,General government final consumption expenditure (% of GDP),2007,15.8864978575358
South Africa,General government final consumption expenditure (% of GDP),2008,17.0724538163321
South Africa,General government final consumption expenditure (% of GDP),2009,17.7936331368919
South Africa,General government final consumption expenditure (% of GDP),2010,17.996063602882
South Africa,General government final consumption expenditure (% of GDP),2011,18.1951431854763
South Africa,General government final consumption expenditure (% of GDP),2012,18.8205452606488
South Africa,General government final consumption expenditure (% of GDP),2013,19.0813745546722
South Africa,General government final consumption expenditure (% of GDP),2014,19.3140625940978
South Africa,General government final consumption expenditure (% of GDP),2015,18.9850713286308
South Africa,General government final consumption expenditure (% of GDP),2016,19.3075616545523
South Africa,General government final consumption expenditure (% of GDP),2017,19.2360771281684
South Africa,General government final consumption expenditure (% of GDP),2018,19.3522261422661
South Africa,General government final consumption expenditure (% of GDP),2019,19.5800800398929
South Africa,General government final consumption expenditure (% of GDP),2020,20.5748935620966
South Africa,General government final consumption expenditure (% of GDP),2021,19.3513233771645
South Africa,General government final consumption expenditure (% of GDP),2022,19.1468750750498
