Country or Area,Item,Year,Value
South Africa,Interest payments (current LCU),1985,4512000000.0
South Africa,Interest payments (current LCU),1986,5547000000.0
South Africa,Interest payments (current LCU),1987,6698000000.0
South Africa,Interest payments (current LCU),1988,8252000000.0
South Africa,Interest payments (current LCU),1989,10676000000.0
South Africa,Interest payments (current LCU),1990,11812000000.0
South Africa,Interest payments (current LCU),1991,14418000000.0
South Africa,Interest payments (current LCU),1992,17694000000.0
South Africa,Interest payments (current LCU),1993,21827000000.0
South Africa,Interest payments (current LCU),1994,23604000000.0
South Africa,Interest payments (current LCU),1995,29663000000.0
South Africa,Interest payments (current LCU),1996,33348000000.0
South Africa,Interest payments (current LCU),1997,39033000000.0
South Africa,Interest payments (current LCU),1998,42884000000.0
South Africa,Interest payments (current LCU),1999,44298000000.0
South Africa,Interest payments (current LCU),2000,46594500000.0
South Africa,Interest payments (current LCU),2001,47684000000.0
South Africa,Interest payments (current LCU),2002,46909000000.0
South Africa,Interest payments (current LCU),2003,46402800000.0
South Africa,Interest payments (current LCU),2004,48911000000.0
South Africa,Interest payments (current LCU),2005,51072000000.0
South Africa,Interest payments (current LCU),2006,52376000000.0
South Africa,Interest payments (current LCU),2007,53081000000.0
South Africa,Interest payments (current LCU),2008,54635000000.0
South Africa,Interest payments (current LCU),2009,59461472178.0
South Africa,Interest payments (current LCU),2010,69411598829.75
South Africa,Interest payments (current LCU),2011,81681156490.0
South Africa,Interest payments (current LCU),2012,94257634192.5
South Africa,Interest payments (current LCU),2013,105665892815.25
South Africa,Interest payments (current LCU),2014,121069730072.75
South Africa,Interest payments (current LCU),2015,135475687093.314
South Africa,Interest payments (current LCU),2016,156502729465.926
South Africa,Interest payments (current LCU),2017,178373413089.182
South Africa,Interest payments (current LCU),2018,192581239729.041
South Africa,Interest payments (current LCU),2019,215232250619.587
South Africa,Interest payments (current LCU),2020,240538118544.883
South Africa,Interest payments (current LCU),2021,275072940961.482
